split,task,seed,layer,real_paraphrase_distance,real_semantic_distance,real_irrelevant_distance,real_semantic_margin,real_semantic_ratio,mismatch_paraphrase_distance,mismatch_semantic_distance,mismatch_irrelevant_distance,mismatch_semantic_margin,grounded_semantic_margin,real_visual_attention_mass
exploration,move_near,1,0,0.004224092069997292,0.0007991946374883359,0.001976122680509241,-0.003424897432508957,0.19043343311178088,0.004417320751414496,0.0009021347869985671,0.00199967747137867,-0.003515185964415929,9.028853190697188e-05,0.7469335091882385
exploration,move_near,1,1,0.0036800282063046605,0.007772392375054812,0.005855782805961368,0.0019166095690934422,1.3547928879286957,0.003495185818781574,0.00598066043335346,0.006309849084012158,-0.0003291886506586967,0.002245798219752139,0.39249253782327287
exploration,move_near,1,2,0.02485449127458166,0.03550407527966434,0.016636988738616434,0.010649584005082683,1.4220787779450295,0.02172877330086931,0.02682931802198091,0.019578241047470493,0.004498321098104927,0.006151262906977755,0.038075658772186216
exploration,move_near,1,3,0.013354536102402144,0.023713278595394304,0.013554564249667653,0.009361712462686063,1.6593954536253805,0.01663870198277761,0.030890245149248628,0.018303374219875396,0.012586870929373231,-0.00322515846668717,0.03349586993759127
exploration,move_near,1,4,0.023169763273965,0.037660131586936575,0.02587672524617121,0.00996032560738999,1.3604370003814334,0.022814909759763757,0.041398132795101676,0.02058359664805751,0.018285227274710502,-0.008324901667320514,0.05876863534740551
exploration,move_near,1,5,0.022327031146011977,0.029885532558548367,0.02319473605462957,0.005211535646316229,1.2088119699678332,0.02897011334758808,0.034193268502377645,0.021800180814542564,0.00522315515478956,-1.1619508473331477e-05,0.06392658946003849
exploration,move_near,1,6,0.03999840838534247,0.04160640363633964,0.02607255131487603,0.0016079952509971684,1.0507329996265315,0.025647713353654466,0.05283881698557446,0.02585562313373078,0.025345625893815883,-0.023737630642818714,0.0586855416076825
exploration,move_near,1,7,0.05658352221934845,0.08818659987235204,0.03467788802248629,0.03160307765300358,1.5320201442865014,0.034220077374069756,0.04903258163391691,0.03070507209030479,0.014812504259847157,0.016790573393156427,0.07766997566731486
exploration,move_near,1,8,0.036238442885906476,0.06566962949221193,0.03822535513432723,0.02734403338812368,1.7042442564793985,0.027213188305314318,0.04850381221306497,0.02638516861407374,0.020044706543393135,0.007299326844730543,0.14078229015012766
exploration,move_near,1,9,0.04316001537701097,0.07764597964740731,0.03695143937254307,0.03448596427039634,1.7960133102771536,0.04081300169581383,0.06614935378570236,0.03813516666321912,0.024108148517490213,0.010377815752906127,0.1013771664225563
exploration,move_near,1,10,0.04601574664575153,0.10202704664813873,0.032294331328195786,0.05601130000238719,2.2121361035418254,0.04477772667676102,0.07340771713610046,0.029765749406288993,0.028629990459339446,0.02738130954304775,0.1598937271409492
exploration,move_near,1,11,0.05225001622994437,0.11171936047808162,0.0261857560707499,0.05946934424813726,2.138132827865146,0.05565384239872753,0.11781998260329019,0.02095638402494945,0.062166140204562646,-0.00269679595642539,0.21634308132767424
exploration,move_near,1,12,0.03233495347196714,0.07278395017230059,0.020960934144250324,0.04044899670033345,2.265844013042189,0.043871049318952575,0.08008649724362378,0.022482336891096424,0.036215447924671205,0.004233548775662249,0.24006144151068534
exploration,move_near,1,13,0.04286997199890689,0.06436122432752747,0.023602917780933038,0.02149125232862058,1.5110874196489126,0.0560259154681071,0.068314044340281,0.02210285329364071,0.012288128872173912,0.009203123456446671,0.1640160169572482
exploration,move_near,1,14,0.03990761477969251,0.15480818985515973,0.03550247185896611,0.1139309236039567,3.8478791511489856,0.05402501876183883,0.07907968632009106,0.026448287378011245,0.025054667558252225,0.08887625604570448,0.3356317084778008
exploration,move_near,1,15,0.03598390976237415,0.0639880752628174,0.037614318650728264,0.02458818458528218,1.632027599048434,0.052583263624321586,0.05953990660690348,0.03731604354325065,0.006956642982581899,0.017631541602700276,0.17637436851437846
exploration,move_near,1,16,0.03695126690148973,0.10631062873686191,0.023812730301063286,0.06935936183537218,2.944959187803128,0.043538693833172694,0.06419804412039026,0.029398670188343756,0.020659350287217573,0.0487000115481546,0.15368132959326886
exploration,move_near,1,17,0.04254661520619118,0.13547763781912,0.029396062816300046,0.09293102261292885,3.358122208324558,0.053453712886214255,0.055517551640026606,0.027992577272842795,0.0020638387538123395,0.09086718385911648,0.18525850569992977
exploration,move_near,1,18,0.05172946347787131,0.08285522955666517,0.03215782993132184,0.031125766078793856,1.6049742741536743,0.058973678382021194,0.07935777552407018,0.03532609135348954,0.020384097142048977,0.010741668936744879,0.11131744682030369
exploration,move_near,1,19,0.050372448012263676,0.11995246284709189,0.034136022275637806,0.06958001483482822,2.4113282272048147,0.0443610367151571,0.0621893034382382,0.0339435174265084,0.016283280501494458,0.05329673433333376,0.11405495879016787
exploration,move_near,1,20,0.05086218003894791,0.10826074759533781,0.05050138812427807,0.054196972947105876,2.0088986914046014,0.0593326103872153,0.06701431781087057,0.0339658911489349,0.007681707423655264,0.046515265523450616,0.16501820710697265
exploration,move_near,1,21,0.05522662919660017,0.10770209605156815,0.04974483641146571,0.052475466854967984,2.0940233784962676,0.05905654635253257,0.054527319184963174,0.04254052506477716,-0.004529227167569386,0.057004694022537376,0.10385132973069251
exploration,move_near,1,22,0.05124448626712771,0.08864681077606333,0.03679011388482168,0.03740232450893563,1.80044106119709,0.05488937445360111,0.06159745419263039,0.029837682460747136,0.006708079739029281,0.030694244769906343,0.1296956989722986
exploration,move_near,1,23,0.07363335696512995,0.07074187818645217,0.04289116711878555,-0.017923846945090277,0.8011893178821933,0.05871406959134549,0.05889526054663798,0.06457396896504486,-0.01008235124088431,-0.007841495704205967,0.08127706298429871
exploration,move_near,1,24,0.0718400072627701,0.10945175130494074,0.059506600908684114,0.03761174404217066,1.546689632225802,0.05332223578856545,0.07131753714478993,0.038548072864831855,0.017995301356224482,0.019616442685946176,0.09400631909814432
exploration,move_near,1,25,0.031174117035512955,0.06413915389711378,0.021529880970775905,0.03296503686160082,2.033114820910605,0.0301915221075932,0.04980570644527719,0.03306160127972916,0.014431734198467841,0.018533302663132984,0.11885012251406124
exploration,move_near,1,26,0.034390339756254364,0.0541036685300581,0.026280231447560625,0.01971332877380373,1.6077050605111385,0.036332870803090285,0.05236236784065821,0.029012861269350734,0.014732383795609596,0.004980944978194135,0.13503407763932765
exploration,move_near,1,27,0.0390549554607374,0.05375556210970672,0.028800693484326966,0.014700606648969322,1.373822193872386,0.03550292366075206,0.03560292514073697,0.025907527896951884,0.00010000147998490717,0.014600605168984418,0.06852856545801937
exploration,move_near,1,28,0.04050199741769405,0.06962987162618865,0.034273874423924176,0.029127874208494584,1.7389165834848814,0.04024361080305466,0.05437006968261356,0.03196370276507423,0.014126458879558906,0.01500141532893568,0.08637537727470364
exploration,move_near,1,29,0.03300488845250555,0.04884638246973532,0.02636178344950174,0.015300201672383953,1.449086928664837,0.033790937666286096,0.04350049971545796,0.023598347399633887,0.009709562049171859,0.005590639623212095,0.15548102096190064
exploration,move_near,1,30,0.032455560344157655,0.05791117423584899,0.02463445161751206,0.025455613891691337,1.8222807719661478,0.034651918674620585,0.0463853856663243,0.02523976075145341,0.011733466991703719,0.013722146899987617,0.1355081254129876
exploration,move_near,1,31,0.02666997362217466,0.037383086357209744,0.025938552370477375,0.008771729758474131,1.3065920791482633,0.03349738235596936,0.034365456437961094,0.03164241746754167,1.8300086957883054e-05,0.008753429671516249,0.2196371205724669
exploration,move_near,2,0,0.003700845004517842,0.0007722946280061862,0.0018053912107269168,-0.0029285503765116567,0.20861108533373787,0.0041496707025109455,0.0009640752219010623,0.0018728142386715736,-0.003185595480609883,0.0002570451040982264,0.746415003707322
exploration,move_near,2,1,0.004005795468910857,0.006647645207665153,0.004758179922667996,0.001889465284997157,1.3970640244907093,0.003865479628291877,0.008006568503968046,0.005526734721963582,0.002479833782004465,-0.0005903684970073077,0.42162691533061053
