state_id,task,seed,split,layer,real_paraphrase_distance,real_semantic_distance,real_irrelevant_distance,real_semantic_margin,real_semantic_ratio,mismatch_paraphrase_distance,mismatch_semantic_distance,mismatch_irrelevant_distance,mismatch_semantic_margin,grounded_semantic_margin,real_visual_attention_mass
google_robot_move_near__seed000__step008,move_near,0,validation,0,0.0033817508612891574,0.0005266201880830113,0.002078387875612557,-0.002855130673206146,0.15572412329696528,0.0034214352998440155,0.0004221869957855719,0.002074426235834723,-0.0029992483040584437,0.00014411763085229751,0.7706392605905421
google_robot_move_near__seed000__step008,move_near,0,validation,1,0.004950720381679438,0.004043867663470855,0.00619762613199665,-0.002153758468525795,0.65248654522632,0.003843373100221857,0.0036265949507228294,0.006783992276375388,-0.0031573973256525585,0.0010036388571267635,0.3924409413302783
google_robot_move_near__seed000__step008,move_near,0,validation,2,0.019378127535573178,0.03146329890292523,0.019853816017625783,0.011609482885299446,1.5847481851847927,0.020974204062313952,0.02823867888414794,0.023868103339133525,0.004370575545014414,0.007238907340285032,0.04253477930080862
google_robot_move_near__seed000__step008,move_near,0,validation,3,0.016060395498505634,0.02207035471247249,0.01574422259315262,0.006009959213966857,1.374209913730086,0.012051613565310777,0.018510562599336866,0.017688915837553793,0.0008216467617830729,0.005188312452183784,0.03716607296530583
google_robot_move_near__seed000__step008,move_near,0,validation,4,0.022896615084518318,0.03547925578136466,0.01578269898831624,0.012582640696846344,1.549541521766428,0.024155356614077923,0.03955926618975278,0.014014210509601924,0.015403909575674855,-0.0028212688788285117,0.05471131580156907
google_robot_move_near__seed000__step008,move_near,0,validation,5,0.01892899981969662,0.026886933007101394,0.022794837414330558,0.004092095592770836,1.179518525111227,0.027223785578142434,0.028447233842869034,0.02518109546703608,0.0012234482647266003,0.002868647328044236,0.04970571921012379
google_robot_move_near__seed000__step008,move_near,0,validation,6,0.019517055470321447,0.07734259083872223,0.031595912865565665,0.04574667797315657,2.447866949367774,0.019485645176399054,0.0388452369414307,0.03315916479871151,0.005686072142719191,0.04006060583043738,0.04421328016252346
google_robot_move_near__seed000__step008,move_near,0,validation,7,0.025849600129214403,0.05031288376453268,0.028024274369108478,0.022288609395424205,1.795332257380167,0.032732514201454996,0.06303603929467833,0.024901765734650045,0.03030352509322333,-0.008014915697799125,0.083460884023566
google_robot_move_near__seed000__step008,move_near,0,validation,8,0.032735014913121176,0.06755611282881527,0.02584693964104107,0.03482109791569409,2.0637263495406795,0.021884288732763553,0.04785989195930243,0.022665093075131613,0.025194798884170817,0.009626299031523275,0.16823135208187523
google_robot_move_near__seed000__step008,move_near,0,validation,9,0.02849674266056412,0.0813368607737979,0.027430285989348165,0.052840118113233775,2.854251159251187,0.042157924739737965,0.08005661432347799,0.021501301118945527,0.03789868958374003,0.014941428529493747,0.13842571485702138
google_robot_move_near__seed000__step008,move_near,0,validation,10,0.0447977606786539,0.0915976503601993,0.022228742485849943,0.0467998896815454,2.044692613482475,0.04214208610256142,0.07228837437750667,0.028581525432526844,0.030146288274945247,0.016653601406600153,0.18424117556196506
google_robot_move_near__seed000__step008,move_near,0,validation,11,0.04158007853067802,0.10972803641029977,0.02498117915081036,0.06814795787962175,2.6389569305248375,0.06368446018775072,0.1225551689658066,0.030551776463474047,0.05887070877805588,0.009277249101565868,0.21730328353851291
google_robot_move_near__seed000__step008,move_near,0,validation,12,0.031937356903836985,0.0943503054087526,0.015200494865422713,0.06241294850491561,2.9542302355464254,0.03822385073123504,0.06110927924742695,0.019036064587786825,0.022885428516191908,0.039527519988723704,0.2233748565404312
