split,layer,episodes,real_paraphrase_distance,real_semantic_distance,real_irrelevant_distance,real_semantic_margin,real_semantic_ratio,mismatch_paraphrase_distance,mismatch_semantic_distance,mismatch_irrelevant_distance,mismatch_semantic_margin,grounded_semantic_margin,real_visual_attention_mass,real_margin_rank,grounded_margin_rank
exploration,0,20,0.00429031954607568,0.002623761660830827,0.003086439735573949,-0.001671333341522488,0.6161472683764798,0.004441825623060296,0.0025417758468951447,0.003055393364661999,-0.001932903663490822,0.0002615703219683345,0.7939029504874876,30,31
exploration,1,20,0.008331220533470993,0.005075384819357529,0.009636351622782398,-0.005865997635717231,0.5813949168883837,0.00807617397892491,0.005042539813581611,0.009004038117631777,-0.00538541881466677,-0.00048057882105045967,0.38986682612642953,31,32
exploration,2,20,0.027452168358259678,0.030938362541052995,0.0285100437110959,0.0002204776671542278,1.0520366490614634,0.028125273624869267,0.02536822918959885,0.02879211105205113,-0.005391119137127423,0.00561159680428165,0.036905403375041126,29,27
exploration,3,20,0.025124078808064203,0.03811886997164652,0.02698421399461306,0.009885436194812261,1.4159576318223954,0.023736371329134746,0.036285625493419196,0.025214582048782734,0.009397072396289778,0.0004883637985224857,0.03524675351832561,22,30
exploration,4,20,0.028090112894987307,0.04464878527055602,0.03132355932596326,0.01104841595289283,1.3917863396469812,0.029365458259024303,0.041702895930456244,0.028125310330973975,0.009159859985659295,0.0018885559672335342,0.043370426877968764,20,29
exploration,5,20,0.03791420715735564,0.06573933202720188,0.031930174859885606,0.02587409750774426,1.590343309105951,0.04529384630951444,0.06062121668275021,0.03191189724239944,0.014526566548419282,0.01134753095932498,0.06547313768022131,14,24
exploration,6,20,0.04002969072013521,0.07801548317012336,0.03860144613150441,0.03446319328020993,1.8505166648096185,0.046400003264173,0.06603369444637178,0.035363715845973386,0.017284407463668224,0.017178785816541697,0.07319272497613082,11,21
exploration,7,20,0.047315956238901766,0.11288213100305504,0.04888558437986863,0.058950428083540965,2.1245288304310708,0.043097248927040685,0.06631632659916585,0.04732731103386744,0.014056263812810155,0.044894164270730806,0.08819347997987373,5,8
exploration,8,20,0.05139603971715656,0.09718618705566984,0.044147422272955504,0.04504621989680628,1.8834086437237592,0.047832851350155615,0.06135072062543688,0.04294464500239169,0.010773726919213371,0.0342724929775929,0.16937550599482543,10,13
exploration,9,20,0.05223442321807205,0.0967968809671127,0.059601529799853704,0.03354940074977909,1.6000456098259572,0.05294744686139199,0.06946430136924445,0.05406365796840309,0.0086588426304943,0.0248905581192848,0.12024483902215102,13,16
exploration,10,20,0.05914593401232413,0.11635800009691735,0.05067642916399532,0.05426309681230378,1.926050981442994,0.055410154548526824,0.07708921695643847,0.045825194167353596,0.01942457916277468,0.0348385176495291,0.17161091100434003,9,12
exploration,11,20,0.062058616507329876,0.1834400560872258,0.03953548118000809,0.12052738736447544,2.9901532407779086,0.07221202757708675,0.12517453227811057,0.04403333054829396,0.05249741610869586,0.06802997125577954,0.22180481353356263,1,2
exploration,12,20,0.049540351141140575,0.12417709667479451,0.0366431811872251,0.07359732217218629,2.527346640884507,0.060094832783601074,0.0871331907963345,0.03666520173204772,0.026694078639076597,0.04690324353310969,0.22056034484234602,3,6
exploration,13,20,0.044500725347492505,0.10365987110284729,0.03552714720228862,0.05788900164799719,2.3537821189848422,0.05343229040443622,0.06679206826059099,0.03711445989648772,0.012975663799040743,0.044913337848956444,0.18185053296487533,6,7
exploration,14,20,0.05222636250935821,0.1575253813375352,0.04486923856842933,0.10364188128943881,3.0989847233941488,0.06417528533859392,0.09233044017122896,0.04785028349595056,0.026584924410318678,0.0770569568791201,0.3529654808298233,2,1
exploration,15,20,0.04635763736915016,0.08623978105670087,0.04845540489516259,0.03439047589069609,1.742088817419879,0.05148719926777486,0.06606632627189812,0.04635131958576449,0.011626246366453132,0.02276422952424296,0.23663983623957088,12,17
exploration,16,20,0.05070820123449217,0.10771486891719681,0.03842293376615636,0.05632237986159411,2.348005872401758,0.056146334121638206,0.06694655558479533,0.04248847922880278,0.008817196106733373,0.04750518375486073,0.18081575471452094,7,5
exploration,17,20,0.05785338367805072,0.11977063500608609,0.04407368346834985,0.06109520423592781,2.235013648122628,0.06501369225779663,0.06850959192674981,0.045590559573035025,0.0030480806209309107,0.05804712361499691,0.1827588164199812,4,4
exploration,18,20,0.0680980961526032,0.09398767462577556,0.049124183401941246,0.02488428008719892,1.425656086799784,0.0744133869940454,0.07072441179873593,0.048773461937848255,-0.004974906682136235,0.02985918676933516,0.10202201311805795,15,14
exploration,19,20,0.06762289141115525,0.08965784137918016,0.06454799986207786,0.015346184333746507,1.4081640916875187,0.07216521098165976,0.06755314679935848,0.05684460415895139,-0.006996368139813568,0.022342552473560075,0.1043954192773164,19,18
exploration,20,20,0.08282025413141315,0.10581386578977023,0.06149517791372755,0.02139414407019104,1.4027234937117627,0.08248918300733175,0.06649245925624182,0.056521779566174914,-0.016471255519456957,0.037865399589648005,0.13888238284587284,18,10
exploration,21,20,0.07303087479407831,0.1337094397643463,0.06724354797617613,0.05578700019600493,1.7549444159566505,0.078141770918457,0.0732853325243785,0.06139943746550789,-0.008760200426500133,0.06454720062250506,0.10456311513794188,8,3
exploration,22,20,0.07314642226397083,0.09839013248319155,0.058140250471862144,0.023975532941408133,1.4408421988916094,0.07681943356822817,0.06727413300250054,0.051492244229947734,-0.01094093076937184,0.03491646371077997,0.12128984014403273,16,11
exploration,23,20,0.06850602315900287,0.07080025853693936,0.08958993508699595,-0.027996593059837545,0.7592141749157995,0.07487111250582167,0.0545700787063351,0.10271693043327088,-0.054337922351398324,0.026341329291560783,0.08269672264310338,32,15
exploration,24,20,0.08514332896479744,0.10961800004959923,0.05803747971094754,0.02392514830167246,1.3547369647434941,0.08387601170208445,0.07051323402337087,0.0603966113112888,-0.015532516827807078,0.03945766512947955,0.11275121834587629,17,9
exploration,25,20,0.0596733319723277,0.06989313041006036,0.04173083412889014,0.00937776917138849,1.2767095952980283,0.059471195203419994,0.05072210567962534,0.04428357456943449,-0.009817382054067004,0.019195151225455495,0.10880533197593627,23,19
exploration,26,20,0.0644755408518121,0.07171626659244014,0.04933505647673268,0.004830749221290012,1.1981957800911291,0.06966182337380022,0.0586466578055696,0.048310801592304047,-0.012470346264070335,0.017301095485360348,0.13378820747495807,26,20
exploration,27,20,0.04563027834747169,0.0577166047328654,0.037159450734587124,0.010752942070141689,1.2947574474603183,0.04814722173984263,0.04826093191179134,0.03781421471194996,-0.0019656841204891418,0.01271862619063083,0.09027913807773205,21,23
exploration,28,20,0.05149772262684917,0.062109138351567214,0.04299845181148477,0.008149884567995052,1.252376574222147,0.05173005136682608,0.04758387926855376,0.04202112774708052,-0.004954945941303674,0.01310483050929873,0.11115228617325446,24,22
exploration,29,20,0.04998367049121005,0.05651252734986528,0.03952624956889915,0.0053574821972655435,1.1746988211844234,0.052583820670298695,0.05071795422715898,0.0422403006470687,-0.0028593352091828028,0.008216817406448345,0.17759278903509768,25,25
exploration,30,20,0.04504175908362183,0.0511763458365489,0.03899145709466608,0.004148960783402733,1.1913831522529936,0.04132688194251201,0.04434006417274178,0.038500903371490154,-0.0008861930316634339,0.005035153815066168,0.150658969027279,27,28
exploration,31,20,0.042607310429367405,0.04858619187775575,0.04051362281851598,0.0023216405453194717,1.118605120232414,0.04276514635225611,0.04342160412922403,0.04087181351207273,-0.003544270038445288,0.005865910583764759,0.24522092994366176,28,26
validation,0,10,0.0042189840219522285,0.0020604134593901523,0.003073019721256378,-0.0021589628927206313,0.4792379564273867,0.004462589419864462,0.0020301989802530584,0.003124939589969229,-0.002493273489777244,0.00033431059705661274,0.8049769856462564,28,31
validation,1,10,0.008784745460896784,0.004623011249046996,0.008127618221863451,-0.005424307643243416,0.5906524931996817,0.00850180467102893,0.004531254906215979,0.008319733145559702,-0.005531790715540841,0.00010748307229742471,0.4108033783015951,31,32
validation,2,10,0.026785926628098467,0.027490674606443243,0.031002171958139823,-0.004367208899742053,0.9217345146987505,0.028012776392366594,0.025007221734797202,0.029768779339389807,-0.005974757550328598,0.001607548650586544,0.03833385262965218,29,30
validation,3,10,0.02471231779960368,0.03697822743820833,0.02575771242392441,0.009827104351476238,1.4554809079505788,0.024281203443117162,0.030705839244119452,0.02554409246023089,0.003392840434248741,0.0064342639172275,0.030292970191793715,20,26
validation,4,10,0.02714622192449031,0.050151903949289,0.031817390394704125,0.016850893942561864,1.5612056568457446,0.027116728715399968,0.04239162023928957,0.03024915645681898,0.00979135204126624,0.007059541901295626,0.048514477674321675,16,24
validation,5,10,0.03644888721241545,0.05387787371307286,0.033076574487130306,0.015715545112226847,1.4294806150237904,0.0412129022136856,0.05452200158619602,0.031869427721761386,0.01257154714774116,0.0031439979644856883,0.06729344092578156,17,29
validation,6,10,0.03553522623811696,0.060367078205291455,0.04006149177883298,0.018436996025556325,1.5335631470692097,0.04576598166199058,0.058950902741638965,0.03686161203560863,0.011238403558484012,0.007198592467072313,0.07426316790164075,15,23
validation,7,10,0.04318008098766207,0.08836647022816956,0.046468076263685695,0.04005924985606575,1.8643315986390463,0.043625005494745975,0.06421249166671165,0.04308505669151728,0.012798316715966204,0.02726093314009955,0.08102259549447885,8,10
