corner_mass,id,layer,phase,seed,synonym_jaccard,target_response,target_switch_jaccard,task,visual_mass
0.015489719364525483,open_drawer__000__step_011,0,early,0,1.0,-1.3502234424023901e-05,1.0,open_drawer,0.8374652415513992
0.02308683361570365,open_drawer__000__step_011,1,early,0,0.9818181818181818,-1.841290351884328e-05,1.0,open_drawer,0.3371080826036632
0.09820688017835429,open_drawer__000__step_011,2,early,0,0.9464285714285714,-0.00021700958373727097,0.9464285714285714,open_drawer,0.015422030151285071
0.05203887939617246,open_drawer__000__step_011,3,early,0,0.963963963963964,9.230165195833143e-05,0.9292035398230089,open_drawer,0.02988029048151475
0.06644483723203243,open_drawer__000__step_011,4,early,0,1.0,-0.00019466500141480762,0.9464285714285714,open_drawer,0.049225528875922464
0.09576615223372012,open_drawer__000__step_011,5,early,0,0.9818181818181818,0.0005975160181472487,0.8016528925619835,open_drawer,0.11060505102886964
0.03769245798492505,open_drawer__000__step_011,6,early,0,0.9464285714285714,-0.0006693235853816011,0.963963963963964,open_drawer,0.04312330532695796
0.0732577637778976,open_drawer__000__step_011,7,early,0,0.963963963963964,-0.00032147839768580187,0.9292035398230089,open_drawer,0.05097745221019068
0.03894400008538326,open_drawer__000__step_011,8,early,0,0.963963963963964,0.00224394484341539,0.9122807017543859,open_drawer,0.17659228107640956
0.05686020600747619,open_drawer__000__step_011,9,early,0,0.9292035398230089,0.00224490987936048,0.9464285714285714,open_drawer,0.13300707226062514
0.0204720336665379,open_drawer__000__step_011,10,early,0,0.9818181818181818,-0.002041178005863193,0.8793103448275862,open_drawer,0.195901460557252
0.009475554295539765,open_drawer__000__step_011,11,early,0,0.9122807017543859,0.015008726756117953,0.8319327731092437,open_drawer,0.25125391548863263
0.0061099213810564225,open_drawer__000__step_011,12,early,0,0.9464285714285714,0.0024979320543568606,0.847457627118644,open_drawer,0.27897296081937384
0.009527057163110095,open_drawer__000__step_011,13,early,0,0.963963963963964,0.000830346328060456,0.8793103448275862,open_drawer,0.16906213663969538
0.005930040438553007,open_drawer__000__step_011,14,early,0,0.9818181818181818,0.012653312784316986,0.8793103448275862,open_drawer,0.4061399378206261
0.026126597116155774,open_drawer__000__step_011,15,early,0,0.9464285714285714,0.0012082084558790252,0.9122807017543859,open_drawer,0.2558657545068854
0.011449847502981446,open_drawer__000__step_011,16,early,0,0.9818181818181818,0.0018619261850372727,0.9464285714285714,open_drawer,0.2492847148744204
0.025090915154142166,open_drawer__000__step_011,17,early,0,0.963963963963964,0.001235976602496359,0.9122807017543859,open_drawer,0.15667470068024159
0.023317850649744478,open_drawer__000__step_011,18,early,0,0.9122807017543859,0.0019273631038690415,0.9292035398230089,open_drawer,0.07612672590869352
0.038845115721171684,open_drawer__000__step_011,19,early,0,0.9464285714285714,0.0022190828029343595,0.8956521739130435,open_drawer,0.1177041174767055
0.0345129905827581,open_drawer__000__step_011,20,early,0,0.9292035398230089,0.001374844841792091,0.8632478632478633,open_drawer,0.15881186421538018
0.02036166207402565,open_drawer__000__step_011,21,early,0,0.9464285714285714,0.002477260155476982,0.9464285714285714,open_drawer,0.15286769314414528
0.025304116830176644,open_drawer__000__step_011,22,early,0,0.9464285714285714,0.0007489111258167425,0.963963963963964,open_drawer,0.10315478869188155
0.025783809246449182,open_drawer__000__step_011,23,early,0,0.9292035398230089,0.0016902749947820938,0.8956521739130435,open_drawer,0.1008263303775152
0.02310560662878686,open_drawer__000__step_011,24,early,0,0.9464285714285714,0.0026535372686953933,0.8793103448275862,open_drawer,0.08865452647281558
0.028171940082312993,open_drawer__000__step_011,25,early,0,0.8793103448275862,0.00015195138659874867,0.8956521739130435,open_drawer,0.10921961602782915
0.0401664086939465,open_drawer__000__step_011,26,early,0,0.8793103448275862,0.0007878757980270558,0.9292035398230089,open_drawer,0.12030687954616326
0.029394766518420216,open_drawer__000__step_011,27,early,0,0.9122807017543859,0.00010383972698363832,0.9122807017543859,open_drawer,0.10186457831325413
0.03193634841742435,open_drawer__000__step_011,28,early,0,0.9122807017543859,-0.0011134761174014102,0.8632478632478633,open_drawer,0.1607040587811639
0.03050424576014439,open_drawer__000__step_011,29,early,0,0.9292035398230089,-1.7253727618892281e-06,0.963963963963964,open_drawer,0.18164017260585297
0.060457559580371745,open_drawer__000__step_011,30,early,0,0.9292035398230089,-0.00044018617217311904,0.9122807017543859,open_drawer,0.12718755987674513
0.06341005882501716,open_drawer__000__step_011,31,early,0,0.9122807017543859,-0.00012936937358721352,0.9464285714285714,open_drawer,0.28476644352804215
0.012028837378164844,open_drawer__000__step_056,0,middle,0,1.0,,,open_drawer,0.8301740027964115
0.020493056721849177,open_drawer__000__step_056,1,middle,0,0.9818181818181818,,,open_drawer,0.3874515234492719
0.08333260281019549,open_drawer__000__step_056,2,middle,0,0.9292035398230089,,,open_drawer,0.030630181857134176
0.026382697741876706,open_drawer__000__step_056,3,middle,0,0.9292035398230089,,,open_drawer,0.039613579925458
0.05089206444555487,open_drawer__000__step_056,4,middle,0,0.9818181818181818,,,open_drawer,0.042881955653456316
0.18273701316215893,open_drawer__000__step_056,5,middle,0,0.9464285714285714,,,open_drawer,0.049817894704347054
0.02411784629656346,open_drawer__000__step_056,6,middle,0,0.9464285714285714,,,open_drawer,0.04373799204233819
0.0661307046924154,open_drawer__000__step_056,7,middle,0,0.9292035398230089,,,open_drawer,0.07838926459783124
0.022554827832313003,open_drawer__000__step_056,8,middle,0,0.9464285714285714,,,open_drawer,0.1414904061721245
0.032968369815976895,open_drawer__000__step_056,9,middle,0,0.963963963963964,,,open_drawer,0.12859019951974915
