evidence_stage,scope,strategy,layers,task,successes,episodes,success_rate,selection_score,target_response,target_mask_response,correct_response_fraction,positive_task_count,synonym_mask_jaccard,mean_components,mean_isolated_ratio,mean_largest_component_ratio,source_path,notes
offline_exploration_single,20 episodes / 60 states,L0,[0],,,,,0.29140625,1.617815966407458e-05,0.0,0.16666666666666666,1,0.9853890507592112,8.566666666666666,0.14645573169068002,0.500713488061797,artifacts/prompt_attn_layer_selection_v1/exploration_per_layer.csv,
offline_exploration_single,20 episodes / 60 states,L1,[1],,,,,0.24765625000000002,-9.159697219729424e-05,0.0,0.0,1,0.9517231639059743,9.366666666666667,0.17626679498855494,0.5041375086468168,artifacts/prompt_attn_layer_selection_v1/exploration_per_layer.csv,
offline_exploration_single,20 episodes / 60 states,L2,[2],,,,,0.28046875000000004,0.0009938525035977364,0.0,0.16666666666666666,1,0.9295604375469051,7.55,0.12628736858979156,0.5365986833140409,artifacts/prompt_attn_layer_selection_v1/exploration_per_layer.csv,
offline_exploration_single,20 episodes / 60 states,L3,[3],,,,,0.40625,0.0031225630858292184,-0.001736111111111111,0.6666666666666666,3,0.938374947655592,8.116666666666667,0.14325483066531225,0.5097596038079364,artifacts/prompt_attn_layer_selection_v1/exploration_per_layer.csv,
offline_exploration_single,20 episodes / 60 states,L4,[4],,,,,0.32421875,0.0010896124100933473,-0.001388888888888889,0.3333333333333333,2,0.9399958316200312,8.066666666666666,0.13742557723401866,0.5114297890433427,artifacts/prompt_attn_layer_selection_v1/exploration_per_layer.csv,
offline_exploration_single,20 episodes / 60 states,L5,[5],,,,,0.26953125,0.0021955433767288923,-0.001736111111111111,0.0,2,0.9359075777998856,8.75,0.14886383657435198,0.45276023278710853,artifacts/prompt_attn_layer_selection_v1/exploration_per_layer.csv,
offline_exploration_single,20 episodes / 60 states,L6,[6],,,,,0.5625,0.011985205579549074,0.0004913955518794227,0.6666666666666666,2,0.924376320364819,9.25,0.1485607602584043,0.47105420044211266,artifacts/prompt_attn_layer_selection_v1/exploration_per_layer.csv,
offline_exploration_single,20 episodes / 60 states,L7,[7],,,,,0.8640625000000001,0.06876221780354778,0.027368808013969303,0.6666666666666666,2,0.9164061173320494,9.533333333333333,0.17465594025216732,0.43141397398901893,artifacts/prompt_attn_layer_selection_v1/exploration_per_layer.csv,
offline_exploration_single,20 episodes / 60 states,L8,[8],,,,,0.8,0.05057166858265797,0.02260678016726404,0.6666666666666666,2,0.909387158580233,8.216666666666667,0.13970545116221103,0.50529933605133,artifacts/prompt_attn_layer_selection_v1/exploration_per_layer.csv,
offline_exploration_single,20 episodes / 60 states,L9,[9],,,,,0.7515625,0.04022933760037025,0.02272194651226909,0.6666666666666666,2,0.9057577182793907,9.283333333333333,0.17650317196689722,0.44769347624499634,artifacts/prompt_attn_layer_selection_v1/exploration_per_layer.csv,
offline_exploration_single,20 episodes / 60 states,L10,[10],,,,,0.6984375000000002,0.03345037282754978,0.02114379422847165,0.8333333333333334,3,0.8806759098433061,7.916666666666667,0.12787517251088207,0.5050324265595655,artifacts/prompt_attn_layer_selection_v1/exploration_per_layer.csv,
offline_exploration_single,20 episodes / 60 states,L11,[11],,,,,0.8687500000000001,0.07858537199596564,0.08950550271114788,0.6666666666666666,2,0.8952779114503949,6.8,0.10164037079261841,0.5973151279946414,artifacts/prompt_attn_layer_selection_v1/exploration_per_layer.csv,
offline_exploration_single,20 episodes / 60 states,L12,[12],,,,,0.7468750000000001,0.0317831488015751,0.06575136706185093,0.6666666666666666,2,0.9119988974503079,7.883333333333334,0.1455486851974676,0.5981113562086685,artifacts/prompt_attn_layer_selection_v1/exploration_per_layer.csv,
offline_exploration_single,20 episodes / 60 states,L13,[13],,,,,0.721875,0.02117758011445403,0.0296474358974359,0.6666666666666666,2,0.9233029897613905,8.483333333333333,0.14523594446562343,0.5222286926402002,artifacts/prompt_attn_layer_selection_v1/exploration_per_layer.csv,
offline_exploration_single,20 episodes / 60 states,L14,[14],,,,,0.8125000000000001,0.0402367051380376,0.10080128205128207,0.6666666666666666,2,0.9032092553410789,8.566666666666666,0.166722803695436,0.5150392015756623,artifacts/prompt_attn_layer_selection_v1/exploration_per_layer.csv,
offline_exploration_single,20 episodes / 60 states,L15,[15],,,,,0.51796875,0.011150762593994537,0.009509121404282695,0.5,2,0.9131630496679909,10.05,0.18477080381476185,0.4486355704845296,artifacts/prompt_attn_layer_selection_v1/exploration_per_layer.csv,
offline_exploration_single,20 episodes / 60 states,L16,[16],,,,,0.63671875,0.020751685214539368,0.024065745335906625,0.5,2,0.9161937907821169,11.066666666666666,0.18063892426318653,0.4018801787983582,artifacts/prompt_attn_layer_selection_v1/exploration_per_layer.csv,
offline_exploration_single,20 episodes / 60 states,L17,[17],,,,,0.73203125,0.03447486568863193,0.05196759259259259,0.5,3,0.9106600902959495,11.133333333333333,0.20341383953406567,0.3784890147154918,artifacts/prompt_attn_layer_selection_v1/exploration_per_layer.csv,
offline_exploration_single,20 episodes / 60 states,L18,[18],,,,,0.5367187500000001,0.014327551859120527,0.022285118555279846,0.3333333333333333,2,0.8926539975993659,11.45,0.1937182755572929,0.37463295235401634,artifacts/prompt_attn_layer_selection_v1/exploration_per_layer.csv,
offline_exploration_single,20 episodes / 60 states,L19,[19],,,,,0.35234375000000007,0.005905978226413329,0.0019414575866188767,0.16666666666666666,2,0.8954300403095665,12.266666666666667,0.22492136783820538,0.3266377367156371,artifacts/prompt_attn_layer_selection_v1/exploration_per_layer.csv,
