category,n,episodes,mean_delta_progress,median_delta_progress,improves_2mm,worsens_2mm,mean_action_l2,mean_residual_cosine,mean_removed_count,mean_removed_prompt_rank
harm,116,24,0.0013961288001632052,0.0,49,33,0.07818889685532508,0.8009039923039045,5.637931034482759,17.55183360700602
rescue,174,36,0.00166110251322872,0.0,57,66,0.06227511201583942,0.7727289435163209,6.517241379310345,19.61605439949894
