task,seed,lambda_0,lambda_0.1,lambda_0.15,lambda_0.2,lambda_0.25,lambda_0.3,lambda_0.35,lambda_0.4,lambda_0.45,lambda_0.5,lambda_0.55,lambda_0.6,lambda_0.75
google_robot_place_apple_in_closed_top_drawer,63,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,64,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,65,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,66,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,67,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,68,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,69,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,70,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,71,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,72,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,73,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,74,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,75,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,76,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,77,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,78,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,79,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,80,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,81,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,82,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,83,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,84,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,85,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,86,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,87,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,88,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,89,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,90,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,91,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,92,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,93,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,94,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,95,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,96,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,97,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,98,0,0,0,0,0,0,0,0,0,0,0,0,0
google_robot_place_apple_in_closed_top_drawer,99,0,0,0,0,0,0,0,0,0,0,0,0,0
widowx_carrot_on_plate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
widowx_carrot_on_plate,1,0,0,0,0,0,0,0,0,0,0,0,0,0
widowx_carrot_on_plate,2,0,0,0,0,0,0,0,0,1,0,0,0,0
widowx_carrot_on_plate,3,0,0,0,0,0,0,0,0,0,0,0,0,0
widowx_carrot_on_plate,4,0,0,0,0,0,0,0,0,0,0,0,0,0
widowx_carrot_on_plate,5,0,0,0,0,0,0,0,0,0,0,0,0,0
widowx_carrot_on_plate,6,0,0,0,0,0,0,0,0,0,0,0,0,0
widowx_carrot_on_plate,7,0,0,0,0,0,0,0,0,0,0,0,0,0
