state_id,task,seed,split,matched_count,layer,scale,count,top_alignment,top_minus_random,synonym_residual_cosine,target_residual_cosine,semantic_separation,synonym_mask_jaccard,target_mask_jaccard,mask_jaccard_separation
google_robot_move_near__seed000__step008,move_near,0,validation,43,9,0.75,32,0.2901896882474074,0.18368269277584487,1.0000000000000002,0.8982439023723304,0.1017560976276698,1.0,0.8823529411764706,0.11764705882352944
google_robot_move_near__seed000__step008,move_near,0,validation,43,11,0.75,32,0.6132925531008812,0.5067855576293187,0.5165313927653622,0.445538895121961,0.07099249764340121,0.8823529411764706,0.7777777777777778,0.10457516339869277
google_robot_move_near__seed000__step008,move_near,0,validation,43,14,0.75,32,0.11826788034268243,0.01176088487111994,0.744059285858966,0.7297255474418382,0.014333738417127817,0.8285714285714286,0.6,0.22857142857142865
google_robot_move_near__seed000__step008,move_near,0,validation,43,9,1.0,43,0.24410320192024357,0.05526299474149288,0.9463900474200136,0.9614627547424525,-0.015072707322438816,0.9111111111111111,0.9111111111111111,0.0
google_robot_move_near__seed000__step008,move_near,0,validation,43,11,1.0,43,0.6229500637596898,0.43410985658093904,0.995125505231346,0.9535484597296343,0.04157704550171171,0.9545454545454546,0.8297872340425532,0.12475822050290142
google_robot_move_near__seed000__step008,move_near,0,validation,43,14,1.0,43,0.19495388703711747,0.006113679858366777,0.8325871552711891,0.8368531564230457,-0.004266001151856602,0.9111111111111111,0.6862745098039216,0.22483660130718952
google_robot_move_near__seed000__step008,move_near,0,validation,43,9,1.25,54,0.36769715264377384,0.10239549326276076,1.0,0.8461935576461245,0.15380644235387553,1.0,0.8947368421052632,0.10526315789473684
google_robot_move_near__seed000__step008,move_near,0,validation,43,11,1.25,54,0.6029344531780899,0.33763279379707684,0.9935090782223758,0.8931486445379503,0.10036043368442549,0.9285714285714286,0.8947368421052632,0.03383458646616544
google_robot_move_near__seed000__step008,move_near,0,validation,43,14,1.25,54,0.31751859451612036,0.05221693513510728,0.9844516173494683,0.9127506843961042,0.0717009329533641,0.9636363636363636,0.6875,0.2761363636363636
google_robot_move_near__seed000__step040,move_near,0,validation,26,9,0.75,20,0.014591712988823538,-0.15089322678698064,0.9375363197953902,0.8603513002547863,0.07718501954060386,0.8181818181818182,0.7391304347826086,0.07905138339920958
google_robot_move_near__seed000__step040,move_near,0,validation,26,11,0.75,20,0.03881577015214044,-0.12666916962366373,0.8827558468251314,0.7720676367235827,0.11068821010154872,0.8181818181818182,0.7391304347826086,0.07905138339920958
google_robot_move_near__seed000__step040,move_near,0,validation,26,14,0.75,20,0.0780575837128164,-0.08742735606298777,1.0,0.9637918215707814,0.03620817842921864,1.0,0.9047619047619048,0.09523809523809523
google_robot_move_near__seed000__step040,move_near,0,validation,26,9,1.0,26,0.142826572986213,0.2054629430997253,0.9173785378846611,0.8276864850416151,0.08969205284304593,0.9259259259259259,0.7333333333333333,0.19259259259259265
google_robot_move_near__seed000__step040,move_near,0,validation,26,11,1.0,26,0.10771253300667498,0.17034890312018725,0.9498452312751787,0.88940866340953,0.06043656786564877,0.9259259259259259,0.6774193548387096,0.2485065710872163
