split,layer,scale,episodes,mean_count,top_alignment,top_minus_random,synonym_residual_cosine,target_residual_cosine,semantic_separation,synonym_mask_jaccard,target_mask_jaccard,mask_jaccard_separation
exploration,9,0.75,20,26.666666666666668,0.29486862847955597,0.2118416756851223,0.8938382704744718,0.8074709469333582,0.08636732354111337,0.8698986949568441,0.7737842156590267,0.09611447929781766
exploration,9,1.0,20,35.61666666666667,0.35089000622899025,0.28142117103001196,0.9228971061909418,0.8378063420804652,0.08509076411047649,0.9057577182793907,0.8163243490236116,0.0894333692557791
exploration,9,1.25,20,44.56666666666666,0.35520852687515586,0.22287675860010422,0.9329436612631852,0.8572195585718477,0.07572410269133746,0.9179006725420067,0.8414977345398871,0.07640293800211961
exploration,11,0.75,20,26.666666666666668,0.3618773068033566,0.27885035400892294,0.9314247421054069,0.7551181612577169,0.17630658084769008,0.8648505029468023,0.679844176176305,0.1850063267704972
exploration,11,1.0,20,35.61666666666667,0.34096345655820814,0.2714946213592297,0.9184207197242827,0.8001774124131638,0.11824330731111883,0.895277911450395,0.7406638258750113,0.15461408557538361
exploration,11,1.25,20,44.56666666666666,0.3480734594340503,0.21574169115899872,0.9263112659465417,0.7869893081497938,0.13932195779674797,0.8977984596633257,0.7710130745735049,0.12678538508982087
exploration,14,0.75,20,26.666666666666668,0.3390835968232631,0.25605664402882955,0.9114860979132695,0.7317190411375304,0.17976705677573915,0.8888899344875648,0.7042707452228807,0.1846191892646844
exploration,14,1.0,20,35.61666666666667,0.345999965323972,0.27653113012499364,0.9172401920920281,0.7625053491996752,0.15473484289235284,0.903209255341079,0.7519067113829475,0.1513025439581314
exploration,14,1.25,20,44.56666666666666,0.3473884159476857,0.21505664767263397,0.9255463131677194,0.8160763218905919,0.10946999127712749,0.8975904814979119,0.785274837653131,0.11231564384478072
validation,9,0.75,10,23.46666666666667,0.28474271312949795,0.1905057491076219,0.9271994663942227,0.8251462676019858,0.10205319879223676,0.8675665867635173,0.7885389597440897,0.07902762701942752
validation,9,1.0,10,31.26666666666667,0.2776933321791374,0.19004541236580055,0.9292729807425438,0.8550149820941385,0.07425799864840527,0.8860646826559482,0.8160601212058156,0.07000456145013265
validation,9,1.25,10,39.06666666666666,0.2742202862968931,0.13237889028955113,0.9400831870019413,0.8564400837594045,0.08364310324253695,0.9030309495344684,0.8333468429945308,0.06968410653993767
validation,11,0.75,10,23.46666666666667,0.3041437996827928,0.20990683566091678,0.9016135846670277,0.7690496716804145,0.13256391298661305,0.8436378085380968,0.6910496376503241,0.15258817088777266
validation,11,1.0,10,31.26666666666667,0.2961295009180618,0.20848158110472492,0.9244302487512671,0.8103373741090657,0.1140928746422016,0.8759351706728961,0.7367661714376066,0.13916899923528941
validation,11,1.25,10,39.06666666666666,0.3272667338209515,0.1854253378136095,0.9285651557590814,0.8402184275013379,0.0883467282577437,0.8782247851864587,0.7619807592351162,0.1162440259513425
validation,14,0.75,10,23.46666666666667,0.27962438680522833,0.18538742278335232,0.9067937373611177,0.7955500200203258,0.11124371734079166,0.8687246622870355,0.7745037718845769,0.09422089040245869
validation,14,1.0,10,31.26666666666667,0.28377714288368766,0.1961292230703508,0.9328046137352738,0.8347650471739174,0.09803956656135633,0.8903166765928923,0.7855965899407665,0.10472008665212573
validation,14,1.25,10,39.06666666666666,0.30479595330872683,0.16295455730138478,0.8976520258323296,0.8426657642819405,0.05498626155038897,0.8951195239985232,0.782146939497417,0.11297258450110612
