metric,spearman_rho,p_value
top_alignment,0.7646627565982403,3.4865207190104335e-07
top_minus_random,0.7646627565982403,3.4865207190104335e-07
synonym_residual_cosine,0.5887096774193548,0.0003935497903806711
semantic_separation,0.7811583577712609,1.321937600999411e-07
