split,task,seed,layer,top_alignment,top_minus_random,synonym_residual_cosine,target_residual_cosine,semantic_separation,synonym_mask_jaccard,target_mask_jaccard,mask_jaccard_separation
exploration,move_near,1,0,0.46625047121143454,0.32925801873337973,1.0,1.0,0.0,1.0,1.0,0.0
exploration,move_near,1,1,0.5083083596083581,0.3713159071303032,1.0,0.9933628973875194,0.006637102612480628,1.0,0.9649122807017544,0.03508771929824561
exploration,move_near,1,2,0.4952549044774004,0.3582624519993456,0.9088411299562903,0.8962176057178626,0.012623524238427644,0.8353174603174603,0.7803594255207158,0.05495803479674447
exploration,move_near,1,3,0.4750746078281245,0.3380821553500697,0.9585240788309313,0.8810039814502794,0.07752009738065198,0.9371345029239766,0.911578947368421,0.025555555555555554
exploration,move_near,1,4,0.43553184915386095,0.29853939667580615,1.0,0.9419585447057862,0.05804145529421375,1.0,0.9232456140350878,0.07675438596491228
exploration,move_near,1,5,0.4519866531306939,0.3149942006526391,1.0,1.0,0.0,1.0,1.0,0.0
exploration,move_near,1,6,0.3756455901208098,0.23865313764275498,0.9487674170889834,0.9302791632834078,0.018488253805575616,0.9507168458781362,0.9371345029239766,0.013582342954159573
exploration,move_near,1,7,0.32539615892492335,0.18840370644686857,0.8948862638516722,0.7333881994995662,0.16149806435210604,0.8699122807017544,0.7958041958041958,0.07410808489755853
exploration,move_near,1,8,0.5003061004440239,0.3633136479659691,0.9190993780250137,0.7455884637935815,0.17351091423143228,0.88,0.8584946236559139,0.02150537634408604
exploration,move_near,1,9,0.23630824066665268,0.09931578818859788,0.9776348741915052,0.7656986918074894,0.2119361823840159,0.9371345029239766,0.8664838274345915,0.07065067548938515
exploration,move_near,1,10,0.3399878961082145,0.20299544363015973,0.9185627622693994,0.7746377103670955,0.14392505190230395,0.8584946236559139,0.7837878787878787,0.07470674486803519
exploration,move_near,1,11,0.35221972926834355,0.21522727679028875,0.795248141915057,0.7383979246938153,0.05685021722124176,0.8584946236559139,0.7601981351981352,0.09829648845777876
exploration,move_near,1,12,0.3109354847024712,0.17394303222441643,0.9448039068455077,0.8857210039190032,0.0590829029265045,0.978494623655914,0.8916666666666666,0.08682795698924728
exploration,move_near,1,13,0.37009903478564427,0.23310658230758943,0.878300121127945,0.8396418862231391,0.03865823490480602,0.890073571024335,0.8584946236559139,0.03157894736842104
exploration,move_near,1,14,0.3714179447339208,0.2344254922558661,0.9793564669375798,0.4829854195698224,0.49637104736775745,0.9232456140350878,0.7648484848484848,0.15839712918660287
exploration,move_near,1,15,0.3083295894392384,0.1713371369611836,0.903647038751477,0.9077934579198547,-0.004146419168377695,0.8463225371120108,0.8638888888888889,-0.01756635177687808
exploration,move_near,1,16,0.19789627426771758,0.06090382178966277,0.9280738200531901,0.7865874297694032,0.1414863902837867,0.9333333333333332,0.7672327672327673,0.1661005661005661
exploration,move_near,1,17,0.23279767943831522,0.09580522696026045,0.9366632591282188,0.8136503994862246,0.12301285964199431,0.9507168458781362,0.7929012345679013,0.15781561131023492
exploration,move_near,1,18,0.17053225348238843,0.033539801004333646,0.9537970461631611,0.87407647954454,0.07972056661862119,0.9434069043576683,0.8353174603174603,0.10808944404020804
