state_id,task,seed,split,layer,top_alignment,top_minus_random,synonym_residual_cosine,target_residual_cosine,semantic_separation,synonym_mask_jaccard,target_mask_jaccard,mask_jaccard_separation
google_robot_move_near__seed000__step008,move_near,0,validation,0,0.4522247957127605,0.26066735745905406,0.9984404450683421,1.0,-0.001559554931657936,0.9545454545454546,1.0,-0.045454545454545414
google_robot_move_near__seed000__step008,move_near,0,validation,1,0.3931549709660323,0.2015975327123259,0.9964367293464661,1.0,-0.003563270653533901,0.9545454545454546,1.0,-0.045454545454545414
google_robot_move_near__seed000__step008,move_near,0,validation,2,0.42111702170127346,0.22955958344756705,0.8947925453402662,0.9900821411549758,-0.09528959581470964,0.9111111111111111,0.9111111111111111,0.0
google_robot_move_near__seed000__step008,move_near,0,validation,3,0.4013525639201771,0.20979512566647068,0.998594373496077,0.9882411724123115,0.010353201083765584,0.9545454545454546,0.9545454545454546,0.0
google_robot_move_near__seed000__step008,move_near,0,validation,4,0.5151910140584562,0.32363357580474983,0.9985705082375259,0.9848359958774656,0.013734512360060291,0.9545454545454546,0.9545454545454546,0.0
google_robot_move_near__seed000__step008,move_near,0,validation,5,0.38499761963668994,0.19344018138298352,0.9120218979368652,0.945069856413085,-0.033047958476219885,0.9545454545454546,0.9545454545454546,0.0
google_robot_move_near__seed000__step008,move_near,0,validation,6,0.43096766030976336,0.23941022205605694,0.9967770992374781,0.9712753911379597,0.02550170809951846,0.9545454545454546,0.9111111111111111,0.04343434343434349
google_robot_move_near__seed000__step008,move_near,0,validation,7,0.2852853992594482,0.09372796100574177,0.9972344235144123,1.0,-0.0027655764855877285,0.9545454545454546,1.0,-0.045454545454545414
google_robot_move_near__seed000__step008,move_near,0,validation,8,0.36868211280438307,0.17712467455067665,0.9840767705481076,0.9684863362764675,0.015590434271640086,0.9545454545454546,0.9545454545454546,0.0
google_robot_move_near__seed000__step008,move_near,0,validation,9,0.24410320192024357,0.052545763666537154,0.9463900474200136,0.9614627547424525,-0.015072707322438816,0.9111111111111111,0.9111111111111111,0.0
google_robot_move_near__seed000__step008,move_near,0,validation,10,0.40403690849303847,0.21247947023933206,0.7299238171283395,0.7501840079159269,-0.02026019078758734,0.8695652173913043,0.7551020408163265,0.11446317657497784
google_robot_move_near__seed000__step008,move_near,0,validation,11,0.6229500637596898,0.43139262550598334,0.995125505231346,0.9535484597296343,0.04157704550171171,0.9545454545454546,0.8297872340425532,0.12475822050290142
google_robot_move_near__seed000__step008,move_near,0,validation,12,0.3539580678069394,0.16240062955323298,0.9972989678226765,0.8412991227246933,0.15599984509798315,0.9545454545454546,0.7916666666666666,0.16287878787878796
google_robot_move_near__seed000__step008,move_near,0,validation,13,0.4248509029357191,0.23329346468201267,0.9892718220522259,0.72645469909349,0.2628171229587358,0.9545454545454546,0.9111111111111111,0.04343434343434349
google_robot_move_near__seed000__step008,move_near,0,validation,14,0.19495388703711747,0.0033964487834110546,0.8325871552711891,0.8368531564230457,-0.004266001151856602,0.9111111111111111,0.6862745098039216,0.22483660130718952
google_robot_move_near__seed000__step008,move_near,0,validation,15,0.15867878000426475,-0.03287865824944167,0.9927108533676322,0.8850955000308859,0.10761535333674632,0.9545454545454546,0.7916666666666666,0.16287878787878796
google_robot_move_near__seed000__step008,move_near,0,validation,16,0.3888048135084403,0.1972473752547339,0.9341988905410545,0.8211444024186788,0.11305448812237573,0.9111111111111111,0.8297872340425532,0.08132387706855793
