split,layer,episodes,top_alignment,top_minus_random,synonym_residual_cosine,target_residual_cosine,semantic_separation,synonym_mask_jaccard,target_mask_jaccard,mask_jaccard_separation,mean_rank
exploration,0,20,0.311624212686936,0.24849693934811246,0.9814824883377178,0.9707550071615516,0.01072748117616623,0.9853890507592112,0.985961324250798,-0.0005722734915867281,11.0
exploration,1,20,0.31921003429526884,0.2560827609564452,0.9658639817974051,0.9777212832214351,-0.011857301424030344,0.9517231639059744,0.9729626815161728,-0.021239517610198395,13.5
exploration,2,20,0.27335169083068,0.21022441749185633,0.9450121011255813,0.944737901170565,0.00027419995501636534,0.9295604375469052,0.927501815423323,0.002058622123582118,21.0
exploration,3,20,0.28166635198773143,0.21853907864890787,0.9480604012466998,0.9309066473464845,0.017153753900214945,0.938374947655592,0.9318009517734767,0.006573995882115484,16.0
exploration,4,20,0.3012192858821655,0.23809201254334203,0.9547952037838172,0.9030111088949001,0.05178409488891715,0.9399958316200314,0.9044183510574639,0.03557748056256727,11.5
exploration,5,20,0.30202090172861995,0.2388936283897964,0.9481182266681207,0.909217171509242,0.03890105515887891,0.9359075777998858,0.8915241399000997,0.04438343789978601,12.5
exploration,6,20,0.32787152474453907,0.2647442514057154,0.9546215427384175,0.8996235670905575,0.054997975647859895,0.924376320364819,0.8701922350395614,0.0541840853252575,8.5
exploration,7,20,0.33769831408051304,0.2745710407416894,0.9459074802813248,0.8521109535671506,0.0937965267141741,0.9164061173320496,0.8405362951586184,0.07586982217343104,7.75
exploration,8,20,0.33757896505879315,0.2744516917199696,0.9178397136696865,0.896849280983613,0.020990432686073875,0.9093871585802329,0.8393590987778138,0.07002805980241911,15.25
exploration,9,20,0.35089000622899025,0.28776273289016674,0.9228971061909418,0.8378063420804652,0.08509076411047649,0.9057577182793907,0.8163243490236116,0.0894333692557791,9.0
exploration,10,20,0.3564642366075839,0.29333696326876024,0.9276113320362407,0.851015890817596,0.07659544121864478,0.8806759098433062,0.8125017551200854,0.06817415472322072,8.25
exploration,11,20,0.34096345655820814,0.2778361832193845,0.9184207197242827,0.8001774124131638,0.11824330731111883,0.895277911450395,0.7406638258750113,0.15461408557538361,10.0
exploration,12,20,0.3398085714874236,0.2766812981486,0.9345105161413805,0.8550758744468345,0.07943464169454609,0.9119988974503077,0.8116212185743847,0.10037767887592304,9.25
exploration,13,20,0.3516859024971319,0.2885586291583083,0.9468496994319884,0.8731540364378543,0.07369566299413423,0.9233029897613905,0.825597200586963,0.09770578917442749,5.5
exploration,14,20,0.345999965323972,0.2828726919851484,0.9172401920920281,0.7625053491996752,0.15473484289235284,0.903209255341079,0.7519067113829475,0.1513025439581314,9.75
exploration,15,20,0.31788393369119794,0.2547566603523744,0.9392115261788281,0.8772267519429768,0.061984774235851026,0.9131630496679909,0.8452623353416836,0.06790071432630732,12.5
exploration,16,20,0.300456883601041,0.23732961026221747,0.9410908307256826,0.8762089490698937,0.0648818816557887,0.9161937907821169,0.8274666094961856,0.0887271812859314,14.25
exploration,17,20,0.30670952316054767,0.2435822498217241,0.9309956448634018,0.8630972309971918,0.06789841386620993,0.9106600902959496,0.816640997691961,0.09401909260398869,14.25
exploration,18,20,0.2809584234376389,0.21783115009881535,0.896077799891865,0.8777230431775604,0.018354756714304605,0.8926539975993659,0.8511333305565995,0.04152066704276662,21.75
exploration,19,20,0.2851252483764526,0.22199797503762903,0.9396992058676487,0.9155956332506052,0.02410357261704334,0.8954300403095667,0.8941901936445925,0.0012398466649743063,16.5
exploration,20,20,0.257816606672782,0.1946893333339585,0.9189544003607674,0.9183750523248545,0.0005793480359129013,0.8940844279599715,0.869853914586608,0.02423051337336326,26.75
exploration,21,20,0.2807156698812098,0.21758839654238615,0.9346479813429204,0.9078932257541463,0.026754755588774236,0.9050353447112606,0.845526011358254,0.059509333353006566,18.25
exploration,22,20,0.27143140545009387,0.20830413211127036,0.9097960884375886,0.9215646157865427,-0.011768527348953997,0.8924621015851958,0.8753365071738409,0.017125594411354784,26.5
exploration,23,20,0.2705079267955582,0.20738065345673462,0.9320519819535985,0.9365606464539565,-0.004508664500357892,0.9138374072849093,0.9123520156849843,0.0014853915999251351,24.25
exploration,24,20,0.2703234159886522,0.2071961426498286,0.9277926329707183,0.9175111270227859,0.010281505947932652,0.8923915299342454,0.8719429355988071,0.020448594335438375,23.0
exploration,25,20,0.249003280067567,0.18587600672874346,0.9465407165953129,0.9416755043226352,0.00486521227267775,0.917313642254842,0.9188087340613291,-0.0014950918064870872,23.5
exploration,26,20,0.2552027770723722,0.1920755037335486,0.9528455514561618,0.9542566225618356,-0.0014110711056740468,0.9126227519852093,0.9202631675135855,-0.007640415528376276,23.25
exploration,27,20,0.26983010261031604,0.2067028292714924,0.9336157764007181,0.9294768370532077,0.004138939347510163,0.9362900804767703,0.9196445663066586,0.016645514170111737,23.5
exploration,28,20,0.2653328451847427,0.2022055718459192,0.9465533728190652,0.9461980012453092,0.0003553715737561754,0.9305976024756497,0.9268672692711297,0.003730333204520142,23.0
exploration,29,20,0.26634280340104755,0.20321553006222398,0.9554447827237997,0.9507979686440178,0.0046468140797817315,0.9375519162298682,0.9314890289124385,0.006062887317429578,19.25
exploration,30,20,0.24191423655093836,0.17878696321211468,0.9535258050823263,0.9645673055779653,-0.011041500495639286,0.9446544314778569,0.9307161392519303,0.013938292225926624,24.5
exploration,31,20,0.22667449706310952,0.1635472237242859,0.9525504805291252,0.9520172388076678,0.0005332417214573455,0.9263759547371165,0.9215530802620748,0.0048228744750417624,24.25
validation,0,10,0.2317906113556618,0.12394754719195547,0.9944787907631227,0.999550565158118,-0.005071774394995248,0.9873946956928801,0.9961365318057048,-0.008741836112824563,18.25
validation,1,10,0.32204213102248563,0.21419906685877926,0.963966120318306,0.9693145197843236,-0.005348399466017432,0.9482204929223974,0.9693193829362976,-0.021098890013899987,8.0
validation,2,10,0.2465517036418813,0.1387086394781749,0.9392498271838943,0.95887948689099,-0.019629659707095792,0.9334311412938188,0.9404657912105012,-0.007034649916682273,20.5
validation,3,10,0.2569788848192011,0.1491358206554948,0.9392530063589722,0.9147388152480371,0.024514191110935033,0.9334627372864042,0.8916671028909728,0.041795634395431054,14.5
validation,4,10,0.2727537268360728,0.16491066267236637,0.9374799191276157,0.9005367154075316,0.03694320372008427,0.9497770368987801,0.8749161761872661,0.07486086071151402,12.5
validation,5,10,0.24652685086594364,0.13868378670223727,0.9450182204422749,0.9249651226831437,0.020053097759131142,0.9085378948700878,0.8738851455919978,0.034652749278090055,17.0
validation,6,10,0.29105088762849163,0.18320782346478523,0.9599418354712898,0.9325784157761658,0.027363419695124062,0.9248711827849952,0.8892585820300279,0.03561260075496746,7.0
validation,7,10,0.2733754692476404,0.165532405083934,0.9097082324260066,0.8767896768153076,0.03291855561069899,0.8971401148654692,0.8332831774137451,0.06385693745172387,15.0
validation,8,10,0.30431093989312885,0.19646787572942248,0.9275283082600161,0.8812548627226107,0.04627344553740526,0.9084752182168275,0.830220019448741,0.07825519876808638,10.0
validation,9,10,0.2776933321791374,0.16985026801543096,0.9292729807425438,0.8550149820941385,0.07425799864840527,0.8860646826559482,0.8160601212058156,0.07000456145013265,10.75
validation,10,10,0.26927816474814603,0.1614351005844397,0.9524342665336174,0.8698634205648548,0.0825708459687627,0.8972427311102009,0.8080271658161029,0.08921556529409799,8.5
validation,11,10,0.2961295009180618,0.18828643675435544,0.9244302487512671,0.8103373741090657,0.1140928746422016,0.8759351706728961,0.7367661714376066,0.13916899923528941,8.75
validation,12,10,0.26901617233881986,0.1611731081751135,0.9364088744225679,0.9124441434347033,0.023964730987864686,0.9043191131041043,0.8339843547819796,0.07033475832212464,15.0
validation,13,10,0.2586933564921404,0.15085029232843405,0.9470094320896063,0.8947603873428914,0.05224904474671506,0.9037152221611485,0.8246531338770436,0.07906208828410474,11.75
validation,14,10,0.28377714288368766,0.1759340787199813,0.9328046137352738,0.8347650471739174,0.09803956656135633,0.8903166765928923,0.7855965899407665,0.10472008665212573,9.0
validation,15,10,0.27617421963248445,0.16833115546877803,0.9492425751454869,0.8994464925856519,0.04979608255983482,0.9043170487618127,0.8414511284369548,0.06286592032485797,9.25
validation,16,10,0.2819414967638647,0.17409843260015836,0.9028653295785667,0.9050226137892439,-0.0021572842106771517,0.8842234729775929,0.8497541279872124,0.03446934499038031,17.25
validation,17,10,0.24883386738125127,0.14099080321754487,0.9258853229914534,0.873634190181557,0.05225113280989653,0.9048125151822004,0.838407002783023,0.0664055123991775,16.0
validation,18,10,0.2431112168381313,0.135268152674425,0.9031266081158128,0.8999145618373104,0.0032120462785024126,0.8389822665384177,0.8660638841519545,-0.02708161761353677,23.0
validation,19,10,0.24792694756467384,0.14008388340096747,0.9351156145104232,0.9295216423372444,0.005593972173178766,0.8878673488232952,0.8785814236516108,0.009285925171684552,18.5
validation,20,10,0.223643347549403,0.11580028338569663,0.9342237680539082,0.8818293354701359,0.052394432583772424,0.8773415081732505,0.8587849877365071,0.018556520436743332,20.75
