state_id,task,seed,step,partner_layer,alpha,m_t,l11_success,vanilla_success,paired_group,l11_group,mask_jaccard_l11,mean_lost_l11_tokens,mean_new_partner_tokens,lost_l11_fraction,components,component_change_l11,isolated_ratio,isolated_change_l11,largest_component_ratio,largest_change_l11,score_cosine_l11,rank_correlation_l11,target_response,target_response_l11,target_response_change,target_mask_response,target_correct_both
google_robot_move_near__seed000__step008,move_near,0,8,0,0.9,43,1,1,stable_success,success,0.9545454545454546,1,1,0.023255813953488372,9,0,0.11627906976744186,0.023255813953488372,0.7209302325581395,0.023255813953488302,0.990675096793889,0.9365079251544974,0.031099842141326658,0.043906901179143074,-0.012807059037816416,0.023255813953488372,1
google_robot_move_near__seed000__step008,move_near,0,8,0,0.75,43,1,1,stable_success,success,0.8297872340425532,4,4,0.09302325581395349,9,0,0.13953488372093023,0.046511627906976744,0.7674418604651163,0.06976744186046513,0.949887951069297,0.8865758754863812,0.019716150425478782,0.043906901179143074,-0.02419075075366429,0.023255813953488372,1
google_robot_move_near__seed000__step008,move_near,0,8,0,0.5,43,1,1,stable_success,success,0.6862745098039216,8,8,0.18604651162790697,9,0,0.11627906976744186,0.023255813953488372,0.5813953488372093,-0.11627906976744184,0.8520795324238878,0.8287580109864956,0.009535722668368536,0.043906901179143074,-0.034371178510774536,0.023255813953488372,1
google_robot_move_near__seed000__step008,move_near,0,8,1,0.9,43,1,1,stable_success,success,0.9111111111111111,2,2,0.046511627906976744,9,0,0.13953488372093023,0.046511627906976744,0.7441860465116279,0.046511627906976716,0.9966142246655564,0.9509033817807275,0.036115628775334176,0.043906901179143074,-0.007791272403808898,0.011627906976744186,1
google_robot_move_near__seed000__step008,move_near,0,8,1,0.75,43,1,1,stable_success,success,0.8695652173913043,3,3,0.06976744186046512,7,-2,0.046511627906976744,-0.046511627906976744,0.7209302325581395,0.023255813953488302,0.9781711771373042,0.9059531643396656,0.026676972567632094,0.043906901179143074,-0.01722992861151098,0.011627906976744186,1
google_robot_move_near__seed000__step008,move_near,0,8,1,0.5,43,1,1,stable_success,success,0.6226415094339622,10,10,0.23255813953488372,6,-3,0.023255813953488372,-0.06976744186046512,0.5813953488372093,-0.11627906976744184,0.9128588977841594,0.8427371824216066,0.015011402868948667,0.043906901179143074,-0.028895498310194407,0.011627906976744186,1
google_robot_move_near__seed000__step008,move_near,0,8,2,0.9,43,1,1,stable_success,success,1.0,0,0,0.0,9,0,0.09302325581395349,0.0,0.6976744186046512,0.0,0.9998449423420468,0.9971060311284045,0.04285398352446988,0.043906901179143074,-0.001052917654673191,0.023255813953488372,1
google_robot_move_near__seed000__step008,move_near,0,8,2,0.75,43,1,1,stable_success,success,1.0,0,0,0.0,9,0,0.09302325581395349,0.0,0.6976744186046512,0.0,0.9986742865349212,0.989516336690318,0.040891834097542136,0.043906901179143074,-0.0030150670816009376,0.023255813953488372,1
google_robot_move_near__seed000__step008,move_near,0,8,2,0.5,43,1,1,stable_success,success,0.8297872340425532,4,4,0.09302325581395349,11,2,0.16279069767441862,0.06976744186046513,0.6511627906976745,-0.046511627906976716,0.989783115193743,0.9705982490272371,0.03594807007144321,0.043906901179143074,-0.007958831107699862,0.023255813953488372,1
google_robot_move_near__seed000__step008,move_near,0,8,3,0.9,43,1,1,stable_success,success,1.0,0,0,0.0,9,0,0.09302325581395349,0.0,0.6976744186046512,0.0,0.9998805211560392,0.9996252002746623,0.04340982464661476,0.043906901179143074,-0.0004970765325283122,0.023255813953488372,1
google_robot_move_near__seed000__step008,move_near,0,8,3,0.75,43,1,1,stable_success,success,0.9545454545454546,1,1,0.023255813953488372,9,0,0.11627906976744186,0.023255813953488372,0.7209302325581395,0.023255813953488302,0.9989857178357016,0.9979507610437168,0.04246962388693158,0.043906901179143074,-0.0014372772922114918,0.023255813953488372,1
google_robot_move_near__seed000__step008,move_near,0,8,3,0.5,43,1,1,stable_success,success,0.9111111111111111,2,2,0.046511627906976744,8,-1,0.13953488372093023,0.046511627906976744,0.813953488372093,0.11627906976744184,0.9923150398621325,0.9921599622339207,0.04001724930679543,0.043906901179143074,-0.0038896518723476464,0.023255813953488372,1
google_robot_move_near__seed000__step008,move_near,0,8,4,0.9,43,1,1,stable_success,success,0.9545454545454546,1,1,0.023255813953488372,9,0,0.11627906976744186,0.023255813953488372,0.7209302325581395,0.023255813953488302,0.9993549844792984,0.9987153810940718,0.042717702631878074,0.043906901179143074,-0.0011891985472649996,0.023255813953488372,1
google_robot_move_near__seed000__step008,move_near,0,8,4,0.75,43,1,1,stable_success,success,0.9545454545454546,1,1,0.023255813953488372,9,0,0.11627906976744186,0.023255813953488372,0.7209302325581395,0.023255813953488302,0.9947163513852738,0.995219157701991,0.040532079293738546,0.043906901179143074,-0.0033748218854045275,0.023255813953488372,1
google_robot_move_near__seed000__step008,move_near,0,8,4,0.5,43,1,1,stable_success,success,0.9545454545454546,1,1,0.023255813953488372,9,0,0.11627906976744186,0.023255813953488372,0.7209302325581395,0.023255813953488302,0.9643265865547623,0.9849579423208971,0.03519486131041507,0.043906901179143074,-0.008712039868728004,0.023255813953488372,1
google_robot_move_near__seed000__step008,move_near,0,8,5,0.9,43,1,1,stable_success,success,1.0,0,0,0.0,9,0,0.09302325581395349,0.0,0.6976744186046512,0.0,0.9996340320825194,0.9982962348363467,0.04277602965376784,0.043906901179143074,-0.001130871525375235,0.023255813953488372,1
google_robot_move_near__seed000__step008,move_near,0,8,5,0.75,43,1,1,stable_success,success,0.9545454545454546,1,1,0.023255813953488372,9,0,0.11627906976744186,0.023255813953488372,0.7209302325581395,0.023255813953488302,0.9969363250286278,0.994248540856031,0.04068682821531576,0.043906901179143074,-0.003220072963827314,0.023255813953488372,1
