partner_layer,alpha,group_type,group,states,episodes,target_control_states,target_response_change,mask_jaccard_l11,mean_lost_l11_tokens,components,component_change_l11,score_cosine_l11,rank_correlation_l11
0,0.5,l11_outcome,fail,51,17,3,-0.09340654443197509,0.7363844795175161,4.784313725490196,6.078431372549019,-0.21568627450980393,0.8360792070678404,0.8458814665715221
0,0.5,l11_outcome,success,54,18,6,-0.052290495234294444,0.72284457243188,5.907407407407407,7.074074074074074,0.3148148148148148,0.8457461364927946,0.8267939284987664
0,0.75,l11_outcome,fail,51,17,3,-0.06504015034608866,0.8709261753205373,2.2941176470588234,6.03921568627451,-0.2549019607843137,0.9548336038642545,0.8876704859100886
0,0.75,l11_outcome,success,54,18,6,-0.036663389821503856,0.8563699826507031,3.074074074074074,6.87037037037037,0.1111111111111111,0.9566319031230792,0.875608585954918
0,0.9,l11_outcome,fail,51,17,3,-0.03408572332625327,0.9477113065726951,0.9607843137254902,6.03921568627451,-0.2549019607843137,0.9926908217892729,0.933116565463448
0,0.9,l11_outcome,success,54,18,6,-0.01934446380522648,0.938576573821337,1.3518518518518519,6.574074074074074,-0.18518518518518517,0.9928489114147505,0.9275701120266524
1,0.5,l11_outcome,fail,51,17,3,-0.07459471199774596,0.7264502170278105,5.196078431372549,6.745098039215686,0.45098039215686275,0.9118217984036733,0.8452151185491361
1,0.5,l11_outcome,success,54,18,6,-0.04368090774186678,0.6900659167567946,6.703703703703703,7.5,0.7407407407407407,0.9173815646516135,0.8286106793019843
1,0.75,l11_outcome,fail,51,17,3,-0.04273596600795429,0.8813975684433234,2.3529411764705883,6.176470588235294,-0.11764705882352941,0.9819414329232705,0.902389902230061
1,0.75,l11_outcome,success,54,18,6,-0.025881095719015212,0.8375660471253242,3.3518518518518516,7.2407407407407405,0.48148148148148145,0.9831128612898635,0.8949438727609504
1,0.9,l11_outcome,fail,51,17,3,-0.018772282458559872,0.9471877955047486,0.9607843137254902,6.176470588235294,-0.11764705882352941,0.9974791636856291,0.9517834963580304
1,0.9,l11_outcome,success,54,18,6,-0.011652648361158912,0.9374755132434744,1.3888888888888888,6.833333333333333,0.07407407407407407,0.9976348245947577,0.9504045627654433
2,0.5,l11_outcome,fail,51,17,3,-0.013185168008306233,0.8745736115899464,2.392156862745098,6.254901960784314,-0.0392156862745098,0.9921615865613173,0.97091720185442
2,0.5,l11_outcome,success,54,18,6,-0.009718935807843136,0.8565516340900984,2.8703703703703702,7.166666666666667,0.4074074074074074,0.991902075893755,0.9748276737197256
2,0.75,l11_outcome,fail,51,17,3,-0.0047931259339814986,0.9526886754905806,0.8823529411764706,6.313725490196078,0.0196078431372549,0.9990356479768084,0.9890797435362334
2,0.75,l11_outcome,success,54,18,6,-0.003598885226264385,0.9394758283887472,1.3148148148148149,6.814814814814815,0.05555555555555555,0.9990063613334415,0.9908385600781598
2,0.9,l11_outcome,fail,51,17,3,-0.0016481235341301397,0.9844743388729268,0.2549019607843137,6.215686274509804,-0.0784313725490196,0.9998892860712976,0.9969243393741108
2,0.9,l11_outcome,success,54,18,6,-0.0012457404067415547,0.9789883574679163,0.46296296296296297,6.722222222222222,-0.037037037037037035,0.999886083332833,0.997414854127989
3,0.5,l11_outcome,fail,51,17,3,-0.013916614262799235,0.9086927243192509,1.6862745098039216,6.0588235294117645,-0.23529411764705882,0.9956015230058624,0.9853104145068419
3,0.5,l11_outcome,success,54,18,6,-0.00812658356655144,0.8674186104043426,2.5,6.814814814814815,0.05555555555555555,0.9931139274883088,0.9840310891974597
3,0.75,l11_outcome,fail,51,17,3,-0.005040090060567132,0.9585432620193977,0.7254901960784313,6.137254901960785,-0.1568627450980392,0.9994579134744123,0.9957772480129612
3,0.75,l11_outcome,success,54,18,6,-0.002976585977424499,0.9400560426984592,1.1851851851851851,6.574074074074074,-0.18518518518518517,0.9991377553374777,0.9952971747497095
3,0.9,l11_outcome,fail,51,17,3,-0.0017299597988507803,0.9780094896394002,0.3137254901960784,6.254901960784314,-0.0392156862745098,0.9999376582628672,0.999063982425197
3,0.9,l11_outcome,success,54,18,6,-0.0010260261054515461,0.9776175594918932,0.4444444444444444,6.777777777777778,0.018518518518518517,0.9999003701538334,0.9989292855598786
4,0.5,l11_outcome,fail,51,17,3,-0.02215886526042295,0.859280851311868,2.2745098039215685,6.529411764705882,0.23529411764705882,0.9908349094883,0.9768441677998732
4,0.5,l11_outcome,success,54,18,6,-0.012806242479920677,0.8653571145786135,2.6666666666666665,7.166666666666667,0.4074074074074074,0.9916660805989476,0.9801435354729873
4,0.75,l11_outcome,fail,51,17,3,-0.008469845879866324,0.9514560130528845,0.8627450980392157,6.078431372549019,-0.21568627450980393,0.9988057430507045,0.991372271327849
4,0.75,l11_outcome,success,54,18,6,-0.004945097972044566,0.9459138979199048,1.1481481481481481,6.851851851851852,0.09259259259259259,0.9989092456921035,0.9930560323999897
4,0.9,l11_outcome,fail,51,17,3,-0.0029699024415829473,0.9759475481389588,0.39215686274509803,6.254901960784314,-0.0392156862745098,0.9998599999392371,0.9974491908230444
4,0.9,l11_outcome,success,54,18,6,-0.0017408762193450247,0.9751227605374505,0.5,6.796296296296297,0.037037037037037035,0.9998718559203449,0.9979728150988021
5,0.5,l11_outcome,fail,51,17,3,-0.033853072637059285,0.812004114086645,3.0,6.980392156862745,0.6862745098039216,0.9780468927576099,0.9719061211117543
5,0.5,l11_outcome,success,54,18,6,-0.0182396726699213,0.8114093148008874,3.6296296296296298,7.7592592592592595,1.0,0.9777482637422218,0.9739029928876003
5,0.75,l11_outcome,fail,51,17,3,-0.013994660866509632,0.9302118458594542,1.196078431372549,6.450980392156863,0.1568627450980392,0.9969698643494268,0.9889717943712161
5,0.75,l11_outcome,success,54,18,6,-0.007530057660816907,0.9222642321055398,1.5740740740740742,7.296296296296297,0.5370370370370371,0.9968702805390685,0.9900751056475334
5,0.9,l11_outcome,fail,51,17,3,-0.005072018844659225,0.9715909910475979,0.47058823529411764,6.294117647058823,0.0,0.9996380542003688,0.9961415852104172
5,0.9,l11_outcome,success,54,18,6,-0.0027272801266170735,0.9749540352770367,0.5185185185185185,6.851851851851852,0.09259259259259259,0.9996232169824282,0.9966645129193051
6,0.5,l11_outcome,fail,51,17,3,-0.0282368842466371,0.8446041762100609,2.1372549019607843,6.686274509803922,0.39215686274509803,0.9836717293763007,0.9807308286097682
6,0.5,l11_outcome,success,54,18,6,-0.018533465929473848,0.8727811054348661,2.3518518518518516,7.055555555555555,0.2962962962962963,0.9837490774133905,0.9857738496392936
6,0.75,l11_outcome,fail,51,17,3,-0.011741757783166903,0.9293084156844352,0.9019607843137255,6.176470588235294,-0.11764705882352941,0.9974227907993413,0.9933724093322381
6,0.75,l11_outcome,success,54,18,6,-0.008156327429558904,0.94466630241701,0.9814814814814815,6.814814814814815,0.05555555555555555,0.9973951933970997,0.9957935565601077
6,0.9,l11_outcome,fail,51,17,3,-0.004282402140724677,0.9810070613511613,0.27450980392156865,6.235294117647059,-0.058823529411764705,0.9996740244025736,0.9982764037178156
6,0.9,l11_outcome,success,54,18,6,-0.0030500478450806337,0.9737934608236356,0.42592592592592593,6.7407407407407405,-0.018518518518518517,0.9996654877203733,0.9990199787221414
