partner_layer,alpha,states,target_control_states,target_response,target_response_l11,target_response_change,mask_jaccard_l11,mean_lost_l11_tokens,mean_new_partner_tokens,lost_l11_fraction,components,component_change_l11,isolated_ratio,largest_component_ratio,score_cosine_l11,rank_correlation_l11,open_target_delta,pick_target_delta,move_target_delta,task_nonharm_fraction,complement_score,strict_candidate,relaxed_candidate
7,0.9,105,9,0.08335133619431913,0.08423165122861907,-0.0008803150342999568,0.9717186583187469,0.4380952380952381,0.4380952380952381,0.014758735838100551,6.542857142857143,0.009523809523809525,0.10321452819939617,0.6080178929920484,0.9995565720818513,0.997598699985831,-0.0015056219311023907,-0.0017351534406234899,0.0005998302688260104,1.0,0.9905702937964025,0,1
21,0.9,105,9,0.08268811567559525,0.08423165122861907,-0.0015435355530238114,0.9480337126692229,0.9142857142857143,0.9142857142857143,0.02729038614806483,6.876190476190477,0.34285714285714286,0.11207413362081348,0.5945707550044032,0.9978206218809303,0.9992107270923932,-0.0012815115647852662,-0.0014345144462856267,-0.0019145806480005412,1.0,0.9634125916283505,0,0
3,0.9,105,9,0.08297098055870111,0.08423165122861907,-0.0012606706699179575,0.9778079255635395,0.38095238095238093,0.38095238095238093,0.011564870703896208,6.523809523809524,-0.009523809523809525,0.10444079028487883,0.6108113244558321,0.9999184815210787,0.9989947097516049,-0.0005335506020227634,-0.002671157316720296,-0.000577304091010813,0.6666666666666666,0.937878541107881,0,0
2,0.9,105,9,0.08285178311274799,0.08423165122861907,-0.001379868115871083,0.981652977007493,0.3619047619047619,0.3619047619047619,0.009487355223825579,6.476190476190476,-0.05714285714285714,0.10440554410479332,0.609562366989907,0.9998876389486586,0.9971766041046768,-0.000276008022073231,-0.0029671701909815044,-0.0008964261345585136,0.6666666666666666,0.9343127216134607,0,0
4,0.9,105,9,0.08208109960186143,0.08423165122861907,-0.0021505516267576654,0.9755233716581834,0.44761904761904764,0.44761904761904764,0.01267148078537419,6.533333333333333,0.0,0.1042513590197978,0.6089957514760826,0.9998660973009497,0.9977184833077198,-0.0009062065722128948,-0.004583372640574225,-0.0009620756674858765,0.6666666666666666,0.9226252820870623,0,0
18,0.9,105,9,0.08109382350101499,0.08423165122861907,-0.003137827727604092,0.9509582301989726,0.8476190476190476,0.8476190476190476,0.02583009157162734,6.79047619047619,0.2571428571428571,0.11137629288884941,0.5970440179473621,0.9990071606805178,0.9993983176928356,-0.0012077582864146927,-0.006230169171419987,-0.0019755557249775957,0.6666666666666666,0.8962072598027789,0,0
6,0.9,105,9,0.08077081861832375,0.08423165122861907,-0.0034608326102953148,0.977297209651291,0.3523809523809524,0.3523809523809524,0.011858030619001647,6.495238095238095,-0.0380952380952381,0.10348855622445546,0.606063881123897,0.9996696341088707,0.9986588137200404,-0.001169655632902256,-0.008636524064148133,-0.0005763181338355553,0.6666666666666666,0.8893197913683596,0,0
5,0.9,105,9,0.0807227915293213,0.08423165122861907,-0.003508859699297791,0.9733205566513093,0.49523809523809526,0.49523809523809526,0.013863219377403339,6.580952380952381,0.047619047619047616,0.10456466432921838,0.6059343830453024,0.9996304236311421,0.9964105194607025,-0.0016147799294541527,-0.007571530018115132,-0.001340269150324087,0.6666666666666666,0.8824625511257373,0,0
3,0.75,105,9,0.0805672305568137,0.08423165122861907,-0.003664420671805377,0.9490355492257724,0.9619047619047619,0.9619047619047619,0.027019889102523523,6.3619047619047615,-0.17142857142857143,0.10113367390608724,0.6168826686365753,0.9992932607182744,0.9955303531918603,-0.0015550305892782213,-0.007765788257164438,-0.0016724431689734698,0.6666666666666666,0.8703026781346129,0,0
27,0.9,105,9,0.08026070264970246,0.08423165122861907,-0.003970948578916611,0.9531659525938424,0.819047619047619,0.819047619047619,0.02457824802624556,6.847619047619047,0.3142857142857143,0.1106713381694425,0.5996395699718057,0.9987833953839796,0.9988489179718579,-0.0018016548257243244,-0.008353834497926838,-0.0017573564130986704,0.6666666666666666,0.8622731075329755,0,0
9,0.9,105,9,0.08130919439998145,0.08423165122861907,-0.0029224568286376354,0.9635444316007807,0.5523809523809524,0.5523809523809524,0.019210839010548778,6.561904761904762,0.02857142857142857,0.10301023813971047,0.6050523802328782,0.9994389882041689,0.9960662309670949,-0.0024405398383968643,-0.007694317816324371,0.001367487168808329,0.3333333333333333,0.8585368103411359,0,0
8,0.9,105,9,0.08103704210439679,0.08423165122861907,-0.0031946091242222763,0.9648320512508727,0.6190476190476191,0.6190476190476191,0.01828148185183216,6.485714285714286,-0.047619047619047616,0.10460306319498267,0.6122187757141779,0.9990688529229621,0.9973630639026038,-0.0029565653013942186,-0.007037937515561944,0.0004106754442893337,0.3333333333333333,0.8497561131155885,0,0
7,0.75,105,9,0.08174732404030663,0.08423165122861907,-0.0024843271883124448,0.927393569503456,1.1904761904761905,1.1904761904761905,0.03915986882644636,6.761904761904762,0.22857142857142856,0.108454918522813,0.5952125800286211,0.9965476897355855,0.9911465792542697,-0.0042299550586029555,-0.004868707529038276,0.0016456810227038973,0.3333333333333333,0.8484005819746595,0,0
19,0.9,105,9,0.07996956492426129,0.08423165122861907,-0.0042620863043577855,0.9460156292502399,0.8952380952380953,0.8952380952380953,0.02846480008672048,6.904761904761905,0.37142857142857144,0.11653308413315826,0.6000507823944806,0.9987582656893352,0.9991247043564506,-0.0016549458360314191,-0.009431000011228563,-0.001700313065813375,0.6666666666666666,0.8445968124385953,0,0
23,0.9,105,9,0.08085217672821185,0.08423165122861907,-0.003379474500407222,0.9561844442826067,0.7047619047619048,0.7047619047619048,0.02307137511474341,6.771428571428571,0.23809523809523808,0.10784754767560321,0.6008257312529491,0.9990200388764033,0.999268799932424,-0.0020828686437039667,-0.006294439087383766,-0.001761115770133934,0.3333333333333333,0.8336821336269963,0,0
24,0.9,105,9,0.08093619989920417,0.08423165122861907,-0.0032954513294149,0.9415814002477965,0.8761904761904762,0.8761904761904762,0.031187058688052875,6.866666666666666,0.3333333333333333,0.11359900116236646,0.5938212779558543,0.9978027779340037,0.9990613181070092,-0.0022385287098870116,-0.005933749294553541,-0.001714075983804147,0.3333333333333333,0.8323145352299282,0,0
2,0.75,105,9,0.080234685766449,0.08423165122861907,-0.003996965462170089,0.9458934969810663,1.1047619047619048,1.1047619047619048,0.028722926288001313,6.571428571428571,0.0380952380952381,0.1037153175523783,0.6081533236073571,0.9990205862745056,0.9899842777577956,-0.0008158165928422549,-0.008599440970441042,-0.002575638823226971,0.3333333333333333,0.8090045799958486,0,0
10,0.9,105,9,0.07974971917655262,0.08423165122861907,-0.0044819320520664545,0.9669659000286829,0.5523809523809524,0.5523809523809524,0.017260610778602664,6.523809523809524,-0.009523809523809525,0.10690245944269808,0.6105909063423817,0.9991942605089935,0.9981059534708824,-0.003913431458479601,-0.007938280932878322,-0.0015940837648414409,0.3333333333333333,0.7827007704871546,0,0
