task,arm,states,mean_count,mean_abs_count_difference_vs_true,mean_feature_perturbation_relative
google_robot_close_drawer,true_matched,15,22.866666666666667,0.0,0.2515186022849358
google_robot_close_drawer,wrong_entity,15,33.733333333333334,15.0,0.32073328416300745
google_robot_close_drawer,random_cluster,15,34.333333333333336,20.133333333333333,0.30693555484217794
google_robot_close_drawer,source_only,15,22.866666666666667,0.0,0.2515186022849358
google_robot_close_drawer,target_only,15,22.866666666666667,0.0,0.2515186022849358
google_robot_close_drawer,top_p80,15,34.4,17.266666666666666,0.3223747230181139
google_robot_close_drawer,true_scale_150,15,34.266666666666666,11.4,0.31247111053917304
google_robot_move_near,true_matched,15,39.53333333333333,0.0,0.330812673633238
google_robot_move_near,wrong_entity,15,50.666666666666664,18.066666666666666,0.3834771029890551
google_robot_move_near,random_cluster,15,65.13333333333334,30.133333333333333,0.43607612126719375
google_robot_move_near,source_only,15,15.533333333333333,24.0,0.19477855739786226
google_robot_move_near,target_only,15,24.0,15.533333333333333,0.24608581536738974
google_robot_move_near,top_p80,15,42.8,11.666666666666666,0.3548895549050341
google_robot_move_near,true_scale_150,15,59.266666666666666,19.733333333333334,0.4121254484865323
google_robot_open_drawer,true_matched,15,37.266666666666666,0.0,0.32024429410228933
google_robot_open_drawer,wrong_entity,15,42.06666666666667,12.533333333333333,0.3473765640270564
google_robot_open_drawer,random_cluster,15,32.4,14.066666666666666,0.2935647428905816
google_robot_open_drawer,source_only,15,37.266666666666666,0.0,0.32024429410228933
google_robot_open_drawer,target_only,15,37.266666666666666,0.0,0.32024429410228933
google_robot_open_drawer,top_p80,15,36.93333333333333,18.466666666666665,0.3142254957776375
google_robot_open_drawer,true_scale_150,15,55.733333333333334,18.466666666666665,0.4031797280018489
google_robot_pick_coke_can,true_matched,15,34.0,0.0,0.3037742449366083
google_robot_pick_coke_can,wrong_entity,15,31.533333333333335,16.333333333333332,0.3040585214780151
google_robot_pick_coke_can,random_cluster,15,34.86666666666667,17.4,0.3235862804948502
google_robot_pick_coke_can,source_only,15,34.0,0.0,0.3037742449366083
google_robot_pick_coke_can,target_only,15,34.0,0.0,0.3037742449366083
google_robot_pick_coke_can,top_p80,15,31.8,16.466666666666665,0.3101788499969189
google_robot_pick_coke_can,true_scale_150,15,50.93333333333333,16.933333333333334,0.3773489075371829
