arm,states,mean_count,std_count,min_count,max_count,mean_abs_count_difference_vs_true,same_count_rate_vs_true,spearman_count_vs_true,spearman_count_vs_corruption,count_vs_corruption_p,mean_feature_perturbation_relative,mean_jaccard_vs_true
true_matched,60,33.416666666666664,15.435124086172925,4,69,0.0,1.0,1.0,0.9464525791794244,3.655158279671993e-30,0.3015874537392679,1.0
wrong_entity,60,39.5,15.210193950111222,15,92,15.483333333333333,0.11666666666666667,0.21897872182194444,0.9147318700633463,1.6967011257739063e-24,0.3389113681642835,0.6695437539707868
random_cluster,60,41.68333333333333,21.705983558047357,4,104,20.433333333333334,0.06666666666666667,0.07602225359992575,0.9383966481172058,1.9026297920992042e-28,0.34004067487370077,0.5979326130732576
source_only,60,27.416666666666668,15.665558471443724,4,64,6.0,0.75,0.6748782865318584,0.9684990997944677,1.0305405894537458e-36,0.26757892468042394,0.8520392250832088
target_only,60,29.533333333333335,14.9593523329796,4,64,3.8833333333333333,0.75,0.8708892157877481,0.9547883709647559,3.0331593047704496e-32,0.2804057391728058,0.8979607749167912
top_p80,60,36.483333333333334,11.064194000870053,17,64,15.966666666666667,0.0,0.030777366314993036,0.8948067341293792,5.647725586969593e-22,0.32541715592442605,0.6255825145719192
true_scale_150,60,50.05,23.146219993770043,6,104,16.633333333333333,0.0,1.0,0.9660811415700205,8.512598615329705e-36,0.37628129864118437,0.6673073441056231
