state_id,task,seed,step,phase,true_entity_count,true_distinct_group_count,arm,count,selected_attention_mass,feature_perturbation_relative,jaccard_vs_true
google_robot_close_drawer__seed000__step011,google_robot_close_drawer,0,11,early,1,1,true_matched,27,0.6749429879899526,0.2782258577002309,1.0
google_robot_close_drawer__seed000__step011,google_robot_close_drawer,0,11,early,1,1,wrong_entity,24,0.6422073606310166,0.26863196058441885,0.8888888888888888
google_robot_close_drawer__seed000__step011,google_robot_close_drawer,0,11,early,1,1,random_cluster,42,0.7922634109524237,0.35047766314372814,0.6428571428571429
google_robot_close_drawer__seed000__step011,google_robot_close_drawer,0,11,early,1,1,source_only,27,0.6749429879899526,0.2782258577002309,1.0
google_robot_close_drawer__seed000__step011,google_robot_close_drawer,0,11,early,1,1,target_only,27,0.6749429879899526,0.2782258577002309,1.0
google_robot_close_drawer__seed000__step011,google_robot_close_drawer,0,11,early,1,1,top_p80,44,0.8035897423152343,0.36847386588916076,0.6136363636363636
google_robot_close_drawer__seed000__step011,google_robot_close_drawer,0,11,early,1,1,true_scale_150,40,0.7807225081051262,0.34166577658328656,0.675
google_robot_close_drawer__seed000__step056,google_robot_close_drawer,0,56,middle,1,1,true_matched,4,0.26595672807036996,0.11790040531094531,1.0
google_robot_close_drawer__seed000__step056,google_robot_close_drawer,0,56,middle,1,1,wrong_entity,28,0.7120111445407452,0.2828640599271948,0.14285714285714285
google_robot_close_drawer__seed000__step056,google_robot_close_drawer,0,56,middle,1,1,random_cluster,35,0.7683475743099328,0.31193889016054854,0.11428571428571428
google_robot_close_drawer__seed000__step056,google_robot_close_drawer,0,56,middle,1,1,source_only,4,0.26595672807036996,0.11790040531094531,1.0
google_robot_close_drawer__seed000__step056,google_robot_close_drawer,0,56,middle,1,1,target_only,4,0.26595672807036996,0.11790040531094531,1.0
google_robot_close_drawer__seed000__step056,google_robot_close_drawer,0,56,middle,1,1,top_p80,41,0.8044195435147248,0.33351119143081404,0.0975609756097561
google_robot_close_drawer__seed000__step056,google_robot_close_drawer,0,56,middle,1,1,true_scale_150,6,0.33981032219898616,0.1444729080983425,0.6666666666666666
google_robot_close_drawer__seed000__step101,google_robot_close_drawer,0,101,late,1,1,true_matched,46,0.813418507921436,0.36307125291905845,1.0
google_robot_close_drawer__seed000__step101,google_robot_close_drawer,0,101,late,1,1,wrong_entity,27,0.6793411417482376,0.27350033139451996,0.5869565217391305
google_robot_close_drawer__seed000__step101,google_robot_close_drawer,0,101,late,1,1,random_cluster,46,0.813418507921436,0.36307125291905845,1.0
google_robot_close_drawer__seed000__step101,google_robot_close_drawer,0,101,late,1,1,source_only,46,0.813418507921436,0.36307125291905845,1.0
google_robot_close_drawer__seed000__step101,google_robot_close_drawer,0,101,late,1,1,target_only,46,0.813418507921436,0.36307125291905845,1.0
google_robot_close_drawer__seed000__step101,google_robot_close_drawer,0,101,late,1,1,top_p80,44,0.8031619634747491,0.3545960703423577,0.9565217391304348
google_robot_close_drawer__seed000__step101,google_robot_close_drawer,0,101,late,1,1,true_scale_150,69,0.8992272101287049,0.4624096717645665,0.6666666666666666
google_robot_close_drawer__seed001__step011,google_robot_close_drawer,1,11,early,1,1,true_matched,30,0.666863026085775,0.30840515424254855,1.0
google_robot_close_drawer__seed001__step011,google_robot_close_drawer,1,11,early,1,1,wrong_entity,41,0.7712261767930388,0.3773922914965855,0.7317073170731707
google_robot_close_drawer__seed001__step011,google_robot_close_drawer,1,11,early,1,1,random_cluster,29,0.6554770728118506,0.30513413211192336,0.9666666666666667
google_robot_close_drawer__seed001__step011,google_robot_close_drawer,1,11,early,1,1,source_only,30,0.666863026085775,0.30840515424254855,1.0
google_robot_close_drawer__seed001__step011,google_robot_close_drawer,1,11,early,1,1,target_only,30,0.666863026085775,0.30840515424254855,1.0
google_robot_close_drawer__seed001__step011,google_robot_close_drawer,1,11,early,1,1,top_p80,46,0.8003328354908039,0.4020794165270268,0.6521739130434783
google_robot_close_drawer__seed001__step011,google_robot_close_drawer,1,11,early,1,1,true_scale_150,45,0.7950260517506296,0.3941761020768405,0.6666666666666666
google_robot_close_drawer__seed001__step056,google_robot_close_drawer,1,56,middle,1,1,true_matched,46,0.9290220039350178,0.41695401889916495,1.0
google_robot_close_drawer__seed001__step056,google_robot_close_drawer,1,56,middle,1,1,wrong_entity,39,0.9136778801975891,0.3865943973990118,0.8478260869565217
