split,comparison,metric,episodes,mean_difference,ci_low,ci_high,positive_fraction
exploration,L9 scale 0.75 - 1.00,top_alignment,20,-0.056021377749434366,-0.08334530701416652,-0.02991655624663154,0.15
exploration,L9 scale 0.75 - 1.00,top_minus_random,20,-0.052102912097524344,-0.0870370475284785,-0.016817152258707307,0.25
exploration,L9 scale 0.75 - 1.00,semantic_separation,20,0.0012765594306368936,-0.042674332304469424,0.04809938982270137,0.45
exploration,L9 scale 0.75 - 1.00,mask_jaccard_separation,20,0.006681110042038543,-0.02738137416655843,0.042935471988590324,0.4
exploration,L9 scale 1.25 - 1.00,top_alignment,20,0.004318520646165555,-0.01632854862252421,0.02760915542782855,0.35
exploration,L9 scale 1.25 - 1.00,top_minus_random,20,0.006642602520214358,-0.024423226935869985,0.037179675948647746,0.5
exploration,L9 scale 1.25 - 1.00,semantic_separation,20,-0.009366661419139022,-0.05494255061102628,0.034586624262684613,0.55
exploration,L9 scale 1.25 - 1.00,mask_jaccard_separation,20,-0.013030431253659514,-0.03438713068488158,0.007543173793458567,0.55
exploration,L11 scale 0.75 - 1.00,top_alignment,20,0.020913850245148517,-0.011619199221621754,0.05725276644125177,0.6
exploration,L11 scale 0.75 - 1.00,top_minus_random,20,0.024832315897058553,-0.014433611122232777,0.06352130368804622,0.7
exploration,L11 scale 0.75 - 1.00,semantic_separation,20,0.05806327353657124,0.029768420326967724,0.0883482299879773,0.8
exploration,L11 scale 0.75 - 1.00,mask_jaccard_separation,20,0.030392241195113606,0.0043254330790890435,0.056753104427945636,0.75
exploration,L11 scale 1.25 - 1.00,top_alignment,20,0.007110002875842315,-0.01674037825844207,0.03428746265192695,0.4
exploration,L11 scale 1.25 - 1.00,top_minus_random,20,0.009434084749891124,-0.022630937132504938,0.03894243169930171,0.65
exploration,L11 scale 1.25 - 1.00,semantic_separation,20,0.02107865048562914,-0.024563906687324055,0.06523887042817944,0.55
exploration,L11 scale 1.25 - 1.00,mask_jaccard_separation,20,-0.02782870048556273,-0.05596737206550153,0.00029022880455781806,0.45
exploration,L14 scale 0.75 - 1.00,top_alignment,20,-0.006916368500708913,-0.04855457957452738,0.030833302702214356,0.55
exploration,L14 scale 0.75 - 1.00,top_minus_random,20,-0.0029979028487988695,-0.0587413554393959,0.046532496997059074,0.5
exploration,L14 scale 0.75 - 1.00,semantic_separation,20,0.02503221388338628,-0.018396093241625496,0.06834140620898382,0.7
exploration,L14 scale 0.75 - 1.00,mask_jaccard_separation,20,0.033316645306553,0.006115338897370893,0.058425071534058536,0.75
exploration,L14 scale 1.25 - 1.00,top_alignment,20,0.0013884506237136364,-0.018778784938923054,0.020803073404224156,0.6
exploration,L14 scale 1.25 - 1.00,top_minus_random,20,0.0037125324977624477,-0.022353517782307385,0.02963394748953361,0.5
exploration,L14 scale 1.25 - 1.00,semantic_separation,20,-0.045264851615225365,-0.09970845140904613,0.0014030527543423708,0.35
exploration,L14 scale 1.25 - 1.00,mask_jaccard_separation,20,-0.038986900113350674,-0.06842766371773175,-0.0128717719192327,0.2
exploration,L11 - L9 at scale 0.75,top_alignment,20,0.06700867832380063,0.029027855184432075,0.10642036350049987,0.8
exploration,L11 - L9 at scale 0.75,top_minus_random,20,0.06700867832380064,0.02886799896611587,0.10730788262354075,0.8
exploration,L11 - L9 at scale 0.75,semantic_separation,20,0.08993925730657669,0.023040509958743263,0.1575960129784655,0.6
exploration,L11 - L9 at scale 0.75,mask_jaccard_separation,20,0.08889184747267954,0.06327766583415755,0.11535035301385006,0.95
exploration,L11 - L14 at scale 0.75,top_alignment,20,0.022793709980093495,-0.016287712074206998,0.0640359269752649,0.55
exploration,L11 - L14 at scale 0.75,top_minus_random,20,0.022793709980093488,-0.015994822985807282,0.06360186972501944,0.55
exploration,L11 - L14 at scale 0.75,semantic_separation,20,-0.0034604759280490714,-0.05301560633030573,0.044159337781586365,0.35
exploration,L11 - L14 at scale 0.75,mask_jaccard_separation,20,0.000387137505812811,-0.03177108452110536,0.032428663829992765,0.45
exploration,L11 - L9 at scale 1.00,top_alignment,20,-0.009926549670782239,-0.05337898063011801,0.03014386019258955,0.45
exploration,L11 - L9 at scale 1.00,top_minus_random,20,-0.009926549670782237,-0.05357425426953149,0.029536384727602453,0.45
exploration,L11 - L9 at scale 1.00,semantic_separation,20,0.03315254320064235,-0.02022686674604713,0.08367721490946994,0.6
exploration,L11 - L9 at scale 1.00,mask_jaccard_separation,20,0.0651807163196045,0.029245978029260045,0.10282140931867088,0.8
exploration,L11 - L14 at scale 1.00,top_alignment,20,-0.005036508765763931,-0.03625937067076007,0.025700161503998228,0.55
exploration,L11 - L14 at scale 1.00,top_minus_random,20,-0.005036508765763932,-0.036314655647303754,0.025235533193718383,0.55
exploration,L11 - L14 at scale 1.00,semantic_separation,20,-0.03649153558123404,-0.10325735762869438,0.02194535769526697,0.45
exploration,L11 - L14 at scale 1.00,mask_jaccard_separation,20,0.0033115416172521993,-0.029590198424610522,0.036357888926468775,0.5
exploration,L11 - L9 at scale 1.25,top_alignment,20,-0.007135067441105478,-0.05077846314363321,0.030442926662129447,0.6
exploration,L11 - L9 at scale 1.25,top_minus_random,20,-0.007135067441105472,-0.05006654699526111,0.03053031597181835,0.6
exploration,L11 - L9 at scale 1.25,semantic_separation,20,0.0635978551054105,0.005619073181631782,0.11958237060545149,0.6
exploration,L11 - L9 at scale 1.25,mask_jaccard_separation,20,0.050382447087701274,0.02287620278345898,0.07680597602720414,0.85
exploration,L11 - L14 at scale 1.25,top_alignment,20,0.0006850434863647489,-0.03730597723128556,0.034913021189303485,0.8
exploration,L11 - L14 at scale 1.25,top_minus_random,20,0.0006850434863647406,-0.03819826870071913,0.0349840362442642,0.8
exploration,L11 - L14 at scale 1.25,semantic_separation,20,0.029851966519620472,-0.028859117528963408,0.08723175178959132,0.55
exploration,L11 - L14 at scale 1.25,mask_jaccard_separation,20,0.014469741245040144,-0.005419610279464014,0.03454514304575168,0.6
