split,task,seed,layer,scale,mean_count,top_alignment,top_minus_random,synonym_residual_cosine,target_residual_cosine,semantic_separation,synonym_mask_jaccard,target_mask_jaccard,mask_jaccard_separation
exploration,move_near,1,9,0.75,17.666666666666668,0.10474408654994477,0.12297116064132106,0.934528649617962,0.7775490012597502,0.1569796483582119,0.8895330112721417,0.8298245614035089,0.059708449868632885
exploration,move_near,1,9,1.0,23.666666666666668,0.23630824066665268,0.2254134437166754,0.9776348741915052,0.7656986918074894,0.2119361823840159,0.9371345029239766,0.8664838274345915,0.07065067548938515
exploration,move_near,1,9,1.25,29.666666666666668,0.35617389639977565,0.31716687035693314,0.9644300123570878,0.9531352930572189,0.011294719299868916,0.9111111111111111,0.8712728906864399,0.03983822042467141
exploration,move_near,1,11,0.75,17.666666666666668,0.4001902100375938,0.41841728412897017,0.8664329003554793,0.7558064948456392,0.11062640550984011,0.8240740740740741,0.7141025641025641,0.10997150997150999
exploration,move_near,1,11,1.0,23.666666666666668,0.35221972926834355,0.34132493231836625,0.795248141915057,0.7383979246938153,0.05685021722124176,0.8584946236559139,0.7601981351981352,0.09829648845777876
exploration,move_near,1,11,1.25,29.666666666666668,0.46915246305174446,0.4301454370089019,0.7445479474624932,0.5326998335370386,0.21184811392545463,0.8866666666666667,0.8001991238550379,0.08646754281162883
exploration,move_near,1,14,0.75,17.666666666666668,0.15754306355552086,0.1757701376468971,0.8499576845793401,0.4432522619541423,0.40670542262519777,0.8796296296296297,0.6203367003367003,0.2592929292929293
exploration,move_near,1,14,1.0,23.666666666666668,0.3714179447339208,0.3605231477839436,0.9793564669375798,0.4829854195698224,0.49637104736775745,0.9232456140350878,0.7648484848484848,0.15839712918660287
exploration,move_near,1,14,1.25,29.666666666666668,0.38416678687541467,0.3451597608325722,0.9290512046041645,0.8278330482398957,0.10121815636426872,0.910909722971434,0.8241666666666667,0.08674305630476735
exploration,move_near,2,9,0.75,29.333333333333332,0.12089577625187237,0.005048572195195278,0.7765777753236542,0.7881688023420766,-0.011591027018422406,0.8265372620211329,0.8265372620211329,0.0
exploration,move_near,2,9,1.0,39.0,0.29465034794954853,0.1914372203492661,0.7811722211412059,0.7148532096311208,0.06631901151008505,0.8666666666666667,0.8156966490299823,0.050970017636684295
exploration,move_near,2,9,1.25,48.666666666666664,0.3034427157438115,0.24301517316950885,0.8468425113084078,0.7356743939766407,0.11116811733176717,0.8697329458973294,0.8690637945318972,0.000669151365432219
exploration,move_near,2,11,0.75,29.333333333333332,0.28904515351777654,0.17319794946109948,0.9847683757695225,0.8112546509110391,0.1735137248584834,0.9436781609195402,0.8265372620211329,0.11714089889840724
exploration,move_near,2,11,1.0,39.0,0.26664245036558903,0.1634293227653066,0.9202975553587849,0.7792818273809421,0.14101572797784281,0.9096816114359975,0.8491856542704,0.06049595716559734
exploration,move_near,2,11,1.25,48.666666666666664,0.2597583352346733,0.19933079266037065,0.9858342459138089,0.8805184377474143,0.10531580816639448,0.9462029267805413,0.8697329458973294,0.07646998088321195
exploration,move_near,2,14,0.75,29.333333333333332,0.20725559563333226,0.09140839157665515,0.9593391134544188,0.768042267592226,0.19129684586219267,0.9278051450465243,0.7939153439153439,0.13388980113118043
exploration,move_near,2,14,1.0,39.0,0.25376213014816046,0.15054900254787806,0.9557201253873947,0.8954287305261537,0.06029139486124102,0.9449103528050896,0.8236434108527132,0.12126694195237649
exploration,move_near,2,14,1.25,48.666666666666664,0.1894722922906464,0.12904474971634375,0.9580074839484188,0.8182841286844015,0.13972335526401738,0.9372044917257684,0.7871910371910372,0.15001345453473114
exploration,move_near,31,9,0.75,35.0,0.45294416433039925,0.14273101821670806,0.9745726430667871,0.8207332368921859,0.15383940617460132,0.9049645390070923,0.7985490561555469,0.10641548285154516
exploration,move_near,31,9,1.0,46.666666666666664,0.43099346974118813,0.1424582944399554,0.9078456057304268,0.9604766134075912,-0.05263100767716422,0.9246662078890889,0.846695869560408,0.07797033832868101
