dataset,task,seed,step,state_id,outcome_group,l11_success,sparse_success,alpha,spatial_mode,m_t,jaccard_l11,l11_retention,lost_from_l11,new_vs_l11,components,isolated_ratio,largest_component_ratio
initial_400,open_drawer,2,0,google_robot_open_drawer__seed002__initial,both_success,1,1,1.0,raw,19,1.0,1.0,0,0,6,0.21052631578947367,0.6842105263157895
initial_400,open_drawer,2,0,google_robot_open_drawer__seed002__initial,both_success,1,1,1.0,corners,19,1.0,1.0,0,0,6,0.21052631578947367,0.6842105263157895
initial_400,open_drawer,2,0,google_robot_open_drawer__seed002__initial,both_success,1,1,1.0,gaussian,19,0.8095238095238095,0.8947368421052632,2,2,4,0.10526315789473684,0.7368421052631579
initial_400,open_drawer,2,0,google_robot_open_drawer__seed002__initial,both_success,1,1,1.0,both,19,0.7272727272727273,0.8421052631578947,3,3,3,0.05263157894736842,0.7368421052631579
initial_400,open_drawer,2,0,google_robot_open_drawer__seed002__initial,both_success,1,1,0.9,raw,19,0.7272727272727273,0.8421052631578947,3,3,8,0.2631578947368421,0.5263157894736842
initial_400,open_drawer,2,0,google_robot_open_drawer__seed002__initial,both_success,1,1,0.9,corners,19,0.7272727272727273,0.8421052631578947,3,3,8,0.2631578947368421,0.5263157894736842
initial_400,open_drawer,2,0,google_robot_open_drawer__seed002__initial,both_success,1,1,0.9,gaussian,19,0.8095238095238095,0.8947368421052632,2,2,5,0.15789473684210525,0.6842105263157895
initial_400,open_drawer,2,0,google_robot_open_drawer__seed002__initial,both_success,1,1,0.9,both,19,0.7272727272727273,0.8421052631578947,3,3,3,0.05263157894736842,0.6842105263157895
initial_400,open_drawer,2,0,google_robot_open_drawer__seed002__initial,both_success,1,1,0.75,raw,19,0.5833333333333334,0.7368421052631579,5,5,9,0.2631578947368421,0.42105263157894735
initial_400,open_drawer,2,0,google_robot_open_drawer__seed002__initial,both_success,1,1,0.75,corners,19,0.5833333333333334,0.7368421052631579,5,5,9,0.2631578947368421,0.42105263157894735
initial_400,open_drawer,2,0,google_robot_open_drawer__seed002__initial,both_success,1,1,0.75,gaussian,19,0.7272727272727273,0.8421052631578947,3,3,5,0.15789473684210525,0.631578947368421
initial_400,open_drawer,2,0,google_robot_open_drawer__seed002__initial,both_success,1,1,0.75,both,19,0.7272727272727273,0.8421052631578947,3,3,4,0.10526315789473684,0.6842105263157895
initial_400,open_drawer,2,0,google_robot_open_drawer__seed002__initial,both_success,1,1,0.5,raw,19,0.46153846153846156,0.631578947368421,7,7,10,0.3684210526315789,0.3157894736842105
initial_400,open_drawer,2,0,google_robot_open_drawer__seed002__initial,both_success,1,1,0.5,corners,19,0.46153846153846156,0.631578947368421,7,7,10,0.3684210526315789,0.3157894736842105
initial_400,open_drawer,2,0,google_robot_open_drawer__seed002__initial,both_success,1,1,0.5,gaussian,19,0.5833333333333334,0.7368421052631579,5,5,5,0.10526315789473684,0.5263157894736842
initial_400,open_drawer,2,0,google_robot_open_drawer__seed002__initial,both_success,1,1,0.5,both,19,0.5833333333333334,0.7368421052631579,5,5,5,0.10526315789473684,0.5263157894736842
initial_400,open_drawer,3,0,google_robot_open_drawer__seed003__initial,both_fail,0,0,1.0,raw,4,1.0,1.0,0,0,3,0.5,0.5
initial_400,open_drawer,3,0,google_robot_open_drawer__seed003__initial,both_fail,0,0,1.0,corners,4,1.0,1.0,0,0,3,0.5,0.5
initial_400,open_drawer,3,0,google_robot_open_drawer__seed003__initial,both_fail,0,0,1.0,gaussian,4,0.3333333333333333,0.5,2,2,1,0.0,1.0
initial_400,open_drawer,3,0,google_robot_open_drawer__seed003__initial,both_fail,0,0,1.0,both,4,0.3333333333333333,0.5,2,2,1,0.0,1.0
initial_400,open_drawer,3,0,google_robot_open_drawer__seed003__initial,both_fail,0,0,0.9,raw,4,1.0,1.0,0,0,3,0.5,0.5
initial_400,open_drawer,3,0,google_robot_open_drawer__seed003__initial,both_fail,0,0,0.9,corners,4,1.0,1.0,0,0,3,0.5,0.5
initial_400,open_drawer,3,0,google_robot_open_drawer__seed003__initial,both_fail,0,0,0.9,gaussian,4,0.3333333333333333,0.5,2,2,1,0.0,1.0
initial_400,open_drawer,3,0,google_robot_open_drawer__seed003__initial,both_fail,0,0,0.9,both,4,0.3333333333333333,0.5,2,2,1,0.0,1.0
initial_400,open_drawer,3,0,google_robot_open_drawer__seed003__initial,both_fail,0,0,0.75,raw,4,0.6,0.75,1,1,3,0.5,0.5
initial_400,open_drawer,3,0,google_robot_open_drawer__seed003__initial,both_fail,0,0,0.75,corners,4,0.6,0.75,1,1,3,0.5,0.5
initial_400,open_drawer,3,0,google_robot_open_drawer__seed003__initial,both_fail,0,0,0.75,gaussian,4,0.6,0.75,1,1,1,0.0,1.0
initial_400,open_drawer,3,0,google_robot_open_drawer__seed003__initial,both_fail,0,0,0.75,both,4,0.6,0.75,1,1,1,0.0,1.0
initial_400,open_drawer,3,0,google_robot_open_drawer__seed003__initial,both_fail,0,0,0.5,raw,4,0.6,0.75,1,1,3,0.5,0.5
initial_400,open_drawer,3,0,google_robot_open_drawer__seed003__initial,both_fail,0,0,0.5,corners,4,0.6,0.75,1,1,3,0.5,0.5
initial_400,open_drawer,3,0,google_robot_open_drawer__seed003__initial,both_fail,0,0,0.5,gaussian,4,0.6,0.75,1,1,1,0.0,1.0
