task,outcome_group,alpha,spatial_mode,n,jaccard_l11,l11_retention,lost_from_l11,new_vs_l11,components,isolated_ratio,largest_component_ratio,synonym_mask_jaccard,target_response,target_mask_response,target_correct_both
ALL,both_success,0.9,both,167,0.6968819815468055,0.818057256569445,5.826347305389222,5.826347305389222,3.5748502994011977,0.029499231183826698,0.579013217112884,,,,
ALL,both_success,0.9,corners,167,0.9016058902055075,0.9469690220970918,1.652694610778443,1.652694610778443,7.682634730538922,0.13578151857060072,0.4579652811491115,,,,
ALL,both_success,0.9,gaussian,167,0.7033645068627442,0.8223699858073816,5.634730538922156,5.634730538922156,3.7784431137724552,0.03231637222156634,0.576790468948809,,,,
ALL,both_success,0.9,raw,167,0.9083840534328388,0.9507374887675785,1.5029940119760479,1.5029940119760479,7.874251497005988,0.13854871358468196,0.4525153853020591,,,,
ALL,both_success,1.0,both,167,0.7002585388472062,0.8206233105804324,5.766467065868263,5.766467065868263,3.5269461077844313,0.028131030507006775,0.5709160213345744,,,,
ALL,both_success,1.0,corners,167,0.9842561407350453,0.9918754252062109,0.32335329341317365,0.32335329341317365,7.317365269461078,0.12450323478126386,0.46456294191482916,,,,
ALL,both_success,1.0,gaussian,167,0.7065636279533039,0.8247263683993459,5.616766467065868,5.616766467065868,3.682634730538922,0.029980505365476817,0.5665242312091254,,,,
ALL,both_success,1.0,raw,167,1.0,1.0,0.0,0.0,7.526946107784431,0.1290616129207943,0.4576023713127519,,,,
ALL,l11_win,0.5,both,71,0.6182248694033506,0.756611523279799,7.197183098591549,7.197183098591549,4.154929577464789,0.0519360663172491,0.6211103443824522,,,,
ALL,l11_win,0.5,corners,71,0.6997621826372556,0.8178508437690685,5.169014084507042,5.169014084507042,8.098591549295774,0.1650366669709376,0.46592660887257364,,,,
ALL,l11_win,0.5,gaussian,71,0.6246061229700726,0.7612040002800751,7.014084507042254,7.014084507042254,4.211267605633803,0.049687788116216734,0.6185566966468897,,,,
ALL,l11_win,0.5,raw,71,0.7044041712279772,0.8208528300457025,5.042253521126761,5.042253521126761,8.225352112676056,0.1653634347167941,0.4564259470252693,,,,
ALL,l11_win,0.75,both,71,0.6584525743571966,0.7888296193451588,6.183098591549296,6.183098591549296,3.8450704225352115,0.04295434347929558,0.6048778173827897,,,,
ALL,l11_win,0.75,corners,71,0.8147302287212328,0.8955334830935731,3.084507042253521,3.084507042253521,7.591549295774648,0.1517858386834035,0.46725767248457317,,,,
ALL,l11_win,0.75,gaussian,71,0.6637488316462463,0.7924305838288006,6.014084507042254,6.014084507042254,3.971830985915493,0.042159516972854215,0.6017925693330612,,,,
ALL,l11_win,0.75,raw,71,0.8188910011075123,0.89796409296373,2.971830985915493,2.971830985915493,7.661971830985915,0.15044444034594456,0.4643936583972697,,,,
ALL,l11_win,0.9,both,71,0.6859446622017481,0.808881281379174,5.633802816901408,5.633802816901408,3.647887323943662,0.035623480385870855,0.5988926895816646,,,,
ALL,l11_win,0.9,corners,71,0.9106118641842882,0.9510648829901769,1.4507042253521127,1.4507042253521127,7.380281690140845,0.14508950525117964,0.4702316796655005,,,,
