split,task,seed,layer,states,top_alignment,bottom_alignment,wrong_prompt_alignment,random_alignment,top_strength_ratio,top_minus_random,top_minus_bottom,top_minus_wrong_prompt,causal_margin
exploration,move_near,1,0,3,0.46625047121143454,0.07315593817343495,0.46625047121143454,0.13699245247805478,0.6096780314853034,0.32925801873337973,0.3930945330379996,0.0,-0.047286171223090236
exploration,move_near,1,1,3,0.5083083596083581,-0.2007634078309487,0.5031517359284216,0.13699245247805478,0.542386417781683,0.3713159071303032,0.7090717674393067,0.005156623679936523,0.005156623679936523
exploration,move_near,1,2,3,0.4952549044774004,0.20020894990896818,0.4686410485671309,0.13699245247805478,0.6917957009943628,0.3582624519993456,0.29504595456843224,0.026613855910269504,0.00541026689500107
exploration,move_near,1,3,3,0.4750746078281245,-0.06570797249738167,0.42855135940659955,0.13699245247805478,0.7629257349933193,0.3380821553500697,0.5407825803255061,0.04652324842152491,0.04652324842152491
exploration,move_near,1,4,3,0.43553184915386095,0.2395720020201749,0.3871586529627471,0.13699245247805478,0.7171960979526073,0.29853939667580615,0.1959598471336861,0.048373196191113854,0.031981829000864236
exploration,move_near,1,5,3,0.4519866531306939,0.08430423940871128,0.4519866531306939,0.13699245247805478,0.7632910683882029,0.3149942006526391,0.3676824137219827,0.0,0.0
exploration,move_near,1,6,3,0.3756455901208098,0.11847234155242385,0.49623792325828503,0.13699245247805478,0.626585788624494,0.23865313764275498,0.2571732485683859,-0.12059233313747532,-0.12059233313747532
exploration,move_near,1,7,3,0.32539615892492335,0.05211260578014981,0.43583634434394297,0.13699245247805478,0.519145440935942,0.18840370644686857,0.27328355314477354,-0.11044018541901955,-0.12323805372874257
exploration,move_near,1,8,3,0.5003061004440239,0.0038022592839033384,0.6838125129427958,0.13699245247805478,0.5488408797829468,0.3633136479659691,0.49650384116012064,-0.18350641249877186,-0.18350641249877186
exploration,move_near,1,9,3,0.23630824066665268,0.10454419623859068,0.31452917421771903,0.13699245247805478,0.5187192133471473,0.09931578818859788,0.13176404442806197,-0.07822093355106637,-0.0860206722744812
exploration,move_near,1,10,3,0.3399878961082145,-0.03333719370273288,0.40215752285856804,0.13699245247805478,0.5366490150412947,0.20299544363015973,0.3733250898109473,-0.06216962675035359,-0.0932639042133419
exploration,move_near,1,11,3,0.35221972926834355,-0.08616705120412006,0.4272072256480719,0.13699245247805478,0.547093450785651,0.21522727679028875,0.43838678047246366,-0.07498749637972839,-0.07498749637972839
exploration,move_near,1,12,3,0.3109354847024712,0.05509257733684464,0.4068255659198579,0.13699245247805478,0.5568462880963491,0.17394303222441643,0.25584290736562654,-0.09589008121738679,-0.09589008121738679
exploration,move_near,1,13,3,0.37009903478564427,0.08307547706144965,0.2113742702160897,0.13699245247805478,0.5691299340144848,0.23310658230758943,0.2870235577241946,0.15872476456955453,0.10241213461408895
exploration,move_near,1,14,3,0.3714179447339208,0.014225173669253533,0.1593718516299398,0.13699245247805478,0.5591363977591962,0.2344254922558661,0.35719277106466735,0.21204609310398106,0.13767204708444566
exploration,move_near,1,15,3,0.3083295894392384,0.015075452615973012,0.40402221346940353,0.13699245247805478,0.4859203791042647,0.1713371369611836,0.2932541368232654,-0.09569262403016514,-0.09569262403016514
exploration,move_near,1,16,3,0.19789627426771758,-0.17355573263922394,0.4115187108497225,0.13699245247805478,0.4696546952172662,0.06090382178966277,0.3714520069069415,-0.213622436582005,-0.23977843220467732
exploration,move_near,1,17,3,0.23279767943831522,-0.03997909012110892,0.3980877867614853,0.13699245247805478,0.4567372146757113,0.09580522696026045,0.27277676955942415,-0.16529010732317007,-0.16529010732317007
exploration,move_near,1,18,3,0.17053225348238843,0.04855841847002489,0.3420818288749903,0.13699245247805478,0.4805091522943024,0.033539801004333646,0.12197383501236352,-0.17154957539260188,-0.17154957539260188
exploration,move_near,1,19,3,0.19436789918141129,0.06238992722400627,0.30255833391900494,0.13699245247805478,0.499443032911512,0.05737544670335649,0.131977971957405,-0.1081904347375937,-0.11234071053108659
exploration,move_near,1,20,3,0.15809082804391292,0.145540715364689,0.0799964321004434,0.13699245247805478,0.4637430687271859,0.021098375565858103,0.01255011267922391,0.0780943959434695,-0.05067976357100504
exploration,move_near,1,21,3,0.21880839324804938,0.012505258742974498,0.2795996250993187,0.13699245247805478,0.49556504016218833,0.08181594076999459,0.20630313450507487,-0.060791231851269306,-0.2054760122912064
exploration,move_near,1,22,3,0.1391614339057529,0.35923470575449135,0.3016256617462126,0.13699245247805478,0.5110061555387803,0.002168981427698132,-0.22007327184873846,-0.1624642278404597,-0.28639087969476135
exploration,move_near,1,23,3,0.27891937889805235,0.022687284891493003,0.19944683538880933,0.13699245247805478,0.5086487854373926,0.14192692641999752,0.2562320940065593,0.07947254350924299,0.018996723230140882
exploration,move_near,1,24,3,0.178317871029427,0.21707616623832157,0.23996672047321146,0.13699245247805478,0.5018878760966449,0.04132541855137223,-0.03875829520889457,-0.06164884944378446,-0.21141454051896524
exploration,move_near,1,25,3,0.11825309832782403,0.002149617580178953,0.17602493833345548,0.13699245247805478,0.4932089509355158,-0.018739354150230748,0.1161034807476451,-0.05777184000563148,-0.1434942286957133
exploration,move_near,1,26,3,0.20002497159888752,0.28922513611915235,0.16758389127398524,0.13699245247805478,0.48633580334510684,0.06303251912083273,-0.08920016452026484,0.03244108032490225,-0.1438124334009608
exploration,move_near,1,27,3,0.18219817094676183,0.1887324148426287,0.18342182058526166,0.13699245247805478,0.5074910915411935,0.045205718468707044,-0.006534243895866885,-0.0012236496384998529,-0.09592475179032388
exploration,move_near,1,28,3,0.23544855605974602,0.024756729994817688,0.25564664295577905,0.13699245247805478,0.4990307640632549,0.09845610358169121,0.2106918260649283,-0.020198086896033043,-0.059919059489683825
exploration,move_near,1,29,3,0.11490890799287784,-0.017250575774535138,0.18453176233142976,0.13699245247805478,0.5244580867867147,-0.022083544485176937,0.13215948376741296,-0.06962285433855193,-0.17774802830953176
exploration,move_near,1,30,3,0.202952804982051,-0.14792145113811553,0.20646401139791415,0.13699245247805478,0.5066185886722151,0.06596035250399622,0.35087425612016654,-0.0035112064158631822,-0.07226191131398364
exploration,move_near,1,31,3,0.13914384988914727,-0.025421309388102536,0.2654194543427692,0.13699245247805478,0.5039467779900135,0.0021513974110924836,0.1645651592772498,-0.12627560445362193,-0.19920208810497986
exploration,move_near,2,0,3,0.1262766146450046,0.16958751065545394,0.053833184430860825,-0.016428364061341943,1.2341234065465303,0.14270497870634652,-0.04331089601044935,0.07244343021414375,-0.062989508192469
exploration,move_near,2,1,3,0.09277780211491964,0.14324283727376713,0.09388951587962434,-0.016428364061341943,1.182700582778064,0.1092061661762616,-0.05046503515884748,-0.0011117137647046933,-0.12145039248660407
exploration,move_near,2,2,3,0.07277014798854882,0.10367781409423756,0.022348035726929966,-0.016428364061341943,1.30613246291514,0.08919851204989078,-0.030907666105688722,0.05042211226161886,-0.06203265346405399
exploration,move_near,2,3,3,0.21775868239531707,0.12320753941286929,0.1591966901682035,-0.016428364061341943,1.209306864527038,0.23418704645665897,0.09455114298244778,0.058561992227113537,-0.03756946165748343
exploration,move_near,2,4,3,0.015602082479372864,0.12108886801339025,0.09207250904929243,-0.016428364061341943,1.5161251934041886,0.032030446540714796,-0.1054867855340174,-0.07647042656991955,-0.1539408121286655
exploration,move_near,2,5,3,-0.03370492001552436,0.1053751636326969,-0.036331316629548936,-0.016428364061341943,1.4587859570932151,-0.017276555954182427,-0.1390800836482213,0.0026263966140245795,-0.22168837767831626
exploration,move_near,2,6,3,0.10911175121282557,0.10334335713534504,0.04384375578183006,-0.016428364061341943,1.2323122749060431,0.1255401152741675,0.005768394077480532,0.0652679954309955,-0.07750226869580028
exploration,move_near,2,7,3,0.08243875754458868,0.10528527299733265,0.14104620025693718,-0.016428364061341943,1.3093572178956956,0.09886712160593063,-0.02284651545274397,-0.058607442712348516,-0.1088514025875224
exploration,move_near,2,8,3,0.22013743433656766,0.1983411304806584,0.24167937617239046,-0.016428364061341943,1.2625805543734752,0.23656579839790962,0.02179630385590924,-0.02154194183582281,-0.06342149428196787
exploration,move_near,2,9,3,0.29465034794954853,0.11049624446575353,0.0993465313342574,-0.016428364061341943,1.091528899969818,0.3110787120108905,0.18415410348379502,0.19530381661529114,0.10766206487500111
exploration,move_near,2,10,3,0.24886833385487728,0.03981631429476852,0.08536758602112342,-0.016428364061341943,1.3565402669925246,0.26529669791621924,0.20905201956010877,0.16350074783375387,0.05129751433498491
exploration,move_near,2,11,3,0.26664245036558903,0.2089764399825361,0.17821285903230835,-0.016428364061341943,1.4050851661938966,0.283070814426931,0.05766601038305297,0.08842959133328071,-0.06610538274755796
exploration,move_near,2,12,3,0.1318073856306353,0.23053532398685653,0.2780941759913607,-0.016428364061341943,1.245727773011793,0.14823574969197725,-0.09872793835622125,-0.14628679036072542,-0.25820686566432344
exploration,move_near,2,13,3,0.253986108669849,0.23834550520818146,0.1806690330781484,-0.016428364061341943,1.2723824842522926,0.27041447273119096,0.01564060346166753,0.07331707559170057,-0.09470258755421691
exploration,move_near,2,14,3,0.25376213014816046,0.10176195401808412,0.14876291121456864,-0.016428364061341943,1.333041962509554,0.2701904942095024,0.15200017613007635,0.10499921893359182,0.03190483221983048
exploration,move_near,2,15,3,0.07101498491146539,0.23217602922861613,0.11073915016336078,-0.016428364061341943,1.2283944241278644,0.08744334897280732,-0.16116104431715073,-0.03972416525189539,-0.21040302253905238
exploration,move_near,2,16,3,0.09629501292841774,0.18442241134770784,0.009199342365742528,-0.016428364061341943,1.2623183140837917,0.11272337698975969,-0.08812739841929007,0.08709567056267524,-0.12438439113947782
exploration,move_near,2,17,3,0.2971000455818915,0.040726139717967756,0.23091549843237524,-0.016428364061341943,1.0181082301831765,0.3135284096432334,0.2563739058639238,0.06618454714951627,0.03081142097706671
exploration,move_near,2,18,3,0.27489543456763743,-0.004317727332701083,0.10334402487601402,-0.016428364061341943,1.0469432641555998,0.29132379862897934,0.27921316190033846,0.17155140969162339,0.09708158509177507
exploration,move_near,2,19,3,0.11992435779090382,0.0636288132283601,0.14753249710520167,-0.016428364061341943,0.9011077087246105,0.13635272185224578,0.056295544562543744,-0.02760813931429783,-0.12364357741838426
exploration,move_near,2,20,3,0.10860099042833372,-0.0865076834873163,0.13536617235160367,-0.016428364061341943,0.851160458134672,0.12502935448967567,0.19510867391565,-0.02676518192326996,-0.13306633176631225
exploration,move_near,2,21,3,0.09679678641476804,0.010994186359574193,0.129652205905688,-0.016428364061341943,0.9556377854285016,0.11322515047611,0.08580260005519386,-0.03285541949091994,-0.129328291341009
exploration,move_near,2,22,3,0.05872235870096998,0.09847246389725069,0.03359942411727065,-0.016428364061341943,0.9835121469845144,0.07515072276231191,-0.039750105196280715,0.025122934583699335,-0.11969618297522651
exploration,move_near,2,23,3,0.013814473281686031,0.3307466302309538,0.0017433511610981227,-0.016428364061341943,1.0642993280606874,0.030242837343027962,-0.31693215694926774,0.01207112212058791,-0.31980419750475636
exploration,move_near,2,24,3,0.08874284873025662,-0.08602869588614477,0.07419340889663384,-0.016428364061341943,1.0678496993934998,0.10517121279159856,0.1747715446164014,0.014549439833622774,-0.10205047600607435
exploration,move_near,2,25,3,0.022016310688712376,0.05785293567603545,0.0629390066623813,-0.016428364061341943,0.9987989938527946,0.03844467475005433,-0.035836624987323075,-0.040922695973668925,-0.23562925921092573
exploration,move_near,2,26,3,0.09684763152058318,0.20076714266522075,0.08653865086445163,-0.016428364061341943,0.9866008684787978,0.11327599558192514,-0.10391951114463759,0.010308980656131561,-0.14255457417218995
exploration,move_near,2,27,3,0.013060467602518439,0.07804416805821537,0.032688989893074206,-0.016428364061341943,0.9776794552291012,0.029488831663860387,-0.06498370045569693,-0.019628522290555766,-0.20630693159670396
exploration,move_near,2,28,3,-0.0029762047975331607,0.16578074404581175,-0.0023965543050558785,-0.016428364061341943,1.0080917781527063,0.013452159263808772,-0.1687569488433449,-0.0005796504924772822,-0.25203641004496186
exploration,move_near,2,29,3,0.05692136663659072,-0.10584171602986536,0.062119761302225955,-0.016428364061341943,0.9436810757357016,0.07334973069793267,0.16276308266645606,-0.005198394665635241,-0.12957154399981727
exploration,move_near,2,30,3,0.06706168384846627,0.22761423246667048,0.07673885423095324,-0.016428364061341943,0.8221663181953444,0.08349004790980818,-0.1605525486182042,-0.009677170382486963,-0.18329934951863613
exploration,move_near,2,31,3,0.0659706585680768,0.0182084587281611,0.07061946443310078,-0.016428364061341943,0.8155726525105936,0.08239902262941874,0.0477621998399157,-0.004648805865023993,-0.10442642169791272
exploration,move_near,31,0,3,0.4352723882648985,0.1552550098848137,0.4352723882648985,-0.028973838248340628,0.9764462843108714,0.46424622651323905,0.2800173783800848,0.0,0.0
exploration,move_near,31,1,3,0.4066264030546201,-0.030553135117962565,0.40039583317684463,-0.028973838248340628,1.0321020152659568,0.43560024130296077,0.4371795381725827,0.006230569877775538,0.006230569877775538
exploration,move_near,31,2,3,0.3304447556540224,0.10032151501625745,0.36589026664764385,-0.028973838248340628,1.0343328809374943,0.3594185939023631,0.23012324063776493,-0.03544551099362144,-0.03544551099362144
exploration,move_near,31,3,3,0.3635910893488828,0.21704537806575439,0.37254637994446776,-0.028973838248340628,1.1341883546804397,0.39256492759722345,0.1465457112831284,-0.00895529059558505,-0.00895529059558505
exploration,move_near,31,4,3,0.3909482576754651,0.09210934473483977,0.3900346946017062,-0.028973838248340628,1.1932627647281293,0.41992209592380575,0.2988389129406253,0.000913563073758857,0.000913563073758857
exploration,move_near,31,5,3,0.4046002878838517,0.23177189016162267,0.36847175553284045,-0.028973838248340628,1.1209816291566757,0.4335741261321923,0.172828397722229,0.03612853235101127,0.001308317338558777
exploration,move_near,31,6,3,0.3635216076214624,0.11071004571652611,0.36477235410690523,-0.028973838248340628,1.0692563129665473,0.39249544586980306,0.2528115619049363,-0.0012507464854428219,-0.023422117016636084
exploration,move_near,31,7,3,0.5069599455393989,0.3657280645867383,0.5426660981309234,-0.028973838248340628,1.0085338851768137,0.5359337837877395,0.14123188095266062,-0.03570615259152449,-0.03570615259152449
exploration,move_near,31,8,3,0.3887045054358269,0.05036400961097628,0.39842783159064976,-0.028973838248340628,0.9863923975768542,0.41767834368416756,0.3383404958248506,-0.009723326154822817,-0.009723326154822817
exploration,move_near,31,9,3,0.43099346974118813,0.07396957161096253,0.454059877155923,-0.028973838248340628,1.0587416887380463,0.4599673079895288,0.3570238981302256,-0.023066407414734886,-0.023066407414734886
exploration,move_near,31,10,3,0.4252902656729714,0.12243727479155629,0.4058841129919262,-0.028973838248340628,1.0531719405525353,0.45426410392131206,0.3028529908814152,0.019406152681045164,0.019406152681045164
exploration,move_near,31,11,3,0.47130655870037125,0.028361969383203456,0.47970516287393883,-0.028973838248340628,1.1292326351188169,0.5002803969487118,0.44294458931716774,-0.008398604173567636,-0.008398604173567636
exploration,move_near,31,12,3,0.3808788983775564,0.040460811534844376,0.408621444863191,-0.028973838248340628,1.1321604442484026,0.40985273662589705,0.340418086842712,-0.027742546485634557,-0.027742546485634557
