task,seed,step,phase,matched_count,l11_entropy,l11_normalized_entropy,l11_effective_support,matched_over_effective_support,top16_mass,top32_mass,standard_mask_components
move_near,0,8,early,43,4.418578880483718,0.796832729831321,59.37896117432595,0.7241622141849153,0.4093163439088031,0.6568388789735367,4
move_near,0,40,middle,26,4.16158463381873,0.7504871891812493,37.13298984162452,0.7001860100921659,0.5421730630837146,0.7341679092677644,2
move_near,0,71,late,42,4.056012255390149,0.7314485958295285,33.682456862516155,1.2469399180539025,0.5942984699285794,0.7685595383000001,7
move_near,1,8,early,18,4.380520170919449,0.7899693408874454,47.72967081625397,0.3771239082979437,0.4519282552161114,0.663573723550545,4
move_near,1,40,middle,30,4.101581728257192,0.7396664523946793,38.894282019362166,0.771321604164477,0.5337338825878462,0.7709908066006924,6
move_near,1,71,late,23,4.147032336181592,0.7478628732269195,41.07019808461165,0.5600167779229128,0.5181206586529047,0.7649717503156369,6
move_near,2,8,early,37,4.387952861769364,0.7913097291661495,53.56564108023902,0.6907412896370566,0.4558778470306832,0.6673659327980869,3
move_near,2,40,middle,55,4.120489735135434,0.7430762633642212,36.428669914878085,1.5097998397558037,0.5692967913631676,0.7553461111321078,7
move_near,2,71,late,25,4.052233491712932,0.7307671453773019,33.070378363754834,0.755963531019047,0.5882397864561009,0.7655433868649016,2
move_near,13,8,early,24,4.39334482956214,0.7922820998155584,56.85867829599721,0.42209915388922387,0.4380023353267768,0.6586240610915876,3
move_near,13,40,middle,48,4.057974767480884,0.731802509137152,30.472740481648962,1.5751783148255456,0.594743767499491,0.7748920254973723,1
move_near,13,71,late,23,3.946158518569835,0.711637915662805,27.781911656922787,0.8278767956656714,0.6364424963665085,0.7917114028986778,1
move_near,31,8,early,60,4.303036066372825,0.7759960992153034,52.0738417455979,1.1522099770000576,0.45831898937638516,0.7051708307350357,7
move_near,31,40,middle,45,4.061341233679769,0.7324096071484585,30.642200434340356,1.468562941373134,0.5726173250088014,0.7611385699528771,4
move_near,31,71,late,35,4.015814991789296,0.7241995467227463,30.20288628166836,1.1588296454052223,0.6019872480959467,0.7721868261399,2
move_near,73,8,early,39,4.40825802609854,0.7949714991514168,50.87697213235374,0.7665550516360048,0.4774181246627349,0.6748398080338691,4
