task,seed,stage,category,step,m,swap_count,historical_mask_jaccard,residual_cosine,action_l2,action_changed_dims,feature_norm_delta,residual_norm_delta,component_delta,isolated_ratio_delta,max_single_swap_action_l2,sum_single_swap_action_l2,interaction_only_action_change
close_drawer,12,middle,both_success,56,6,1,1.0,0.8383154815180277,0.08371550498639838,1,2.6596603393554688,-6.258720397949219,0,0.0,0.08371550498639838,0.08371550498639838,0
close_drawer,12,late,both_success,99,6,0,1.0,1.0000000000000002,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,13,early,harm,13,61,0,0.13114754098360656,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,13,middle,harm,56,57,0,1.0,1.0000000000000002,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,13,late,harm,99,51,0,0.9411764705882353,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,14,early,both_success,13,28,0,0.8571428571428571,0.9999999999999999,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,14,middle,both_success,56,22,0,0.5526315789473685,0.9999999999999999,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,14,late,both_success,99,52,1,0.8909090909090909,0.9821616120738,0.0,0,1.5565948486328125,1.5547943115234375,1,0.019230769230769232,0.0,0.0,0
close_drawer,15,early,both_success,13,23,0,0.9166666666666666,1.0000000000000002,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,15,middle,both_success,56,46,1,0.7608695652173914,0.9938821519500732,0.0,0,2.7740478515625,-2.6374893188476562,0,0.0,0.0,0.0,0
close_drawer,15,late,both_success,99,40,0,0.6428571428571429,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,16,early,both_success,13,27,1,0.8181818181818182,0.9841695392564781,0.011071365759653173,1,-1.563385009765625,-1.4212646484375,1,0.07407407407407407,0.011071365759653173,0.011071365759653173,0
close_drawer,16,middle,both_success,56,42,3,0.7727272727272727,0.9887707770289975,0.0031590756598640912,1,8.657974243164062,-1.3026123046875,-1,0.0,0.0031590756598640912,0.009477226979592274,0
close_drawer,16,late,both_success,99,34,0,0.11764705882352941,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,17,early,both_fail,13,29,0,1.0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,17,middle,both_fail,56,4,1,1.0,0.8395451061718302,0.0,0,-2.9067649841308594,-16.67435073852539,0,0.0,0.0,0.0,0
close_drawer,17,late,both_fail,99,29,2,1.0,0.9888684916256651,0.0,0,-2.276153564453125,-3.1973419189453125,1,0.03448275862068967,0.0,0.0,0
close_drawer,18,early,both_success,13,29,0,0.896551724137931,0.9999999999999998,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,18,middle,both_success,56,50,0,0.68,0.9999999999999999,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,18,late,both_success,99,47,0,0.723404255319149,1.0000000000000002,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,19,early,harm,13,14,0,1.0,0.9999999999999999,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,19,middle,harm,56,35,0,0.8055555555555556,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,19,late,harm,99,35,1,0.5882352941176471,0.9971951004204732,0.0,0,-0.05242919921875,-0.3994140625,-2,-0.02857142857142857,0.0,0.0,0
close_drawer,20,early,both_success,13,22,0,1.0,1.0000000000000002,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,20,middle,both_success,56,47,0,0.9183673469387755,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,20,late,both_success,99,46,0,0.717391304347826,0.9999999999999999,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,21,early,both_fail,13,31,0,1.0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,21,middle,both_fail,56,6,0,1.0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,21,late,both_fail,99,31,1,0.5806451612903226,0.9956376819811625,0.011071365759653173,1,0.5950775146484375,-0.2194671630859375,0,0.0,0.011071365759653173,0.011071365759653173,0
close_drawer,22,early,both_success,13,41,2,0.9523809523809523,0.9794612063025445,0.0,0,-2.863372802734375,0.425323486328125,0,0.0,0.0,0.0,0
close_drawer,22,middle,both_success,56,45,1,0.6727272727272727,0.9943927280529531,0.0,0,-1.8381805419921875,0.7350616455078125,1,0.0,0.0,0.0,0
close_drawer,22,late,both_success,99,54,2,0.49122807017543857,0.9894896956364245,0.0,0,3.392608642578125,-0.6363525390625,-1,-0.037037037037037035,0.0,0.0,0
