state_id,task,seed,source_step,phase,split,arm,m,standard_overlap,v1_overlap,num_components,isolated_token_ratio,largest_component_ratio,feature_perturbation_total,selected_mean_relative_perturbation,centered_residual_norm,winner_flip_count
google_robot_move_near__seed000__step008,google_robot_move_near,0,8,early,validation,standard_shr,43,1.0,0.09302325581395349,4,0.023255813953488372,0.4418604651162791,200.84681701660156,0.8181297779083252,245.8717498779297,1
google_robot_move_near__seed000__step008,google_robot_move_near,0,8,early,validation,prompt_v1,43,0.09302325581395349,1.0,13,0.13953488372093023,0.3953488372093023,146.90924072265625,0.8361338973045349,149.07667541503906,3
google_robot_move_near__seed000__step008,google_robot_move_near,0,8,early,validation,prompt_single,43,0.3023255813953488,0.627906976744186,9,0.09302325581395349,0.6976744186046512,175.27670288085938,0.895514190196991,270.01043701171875,1
google_robot_move_near__seed000__step008,google_robot_move_near,0,8,early,validation,prompt_sparse,43,0.27906976744186046,0.6744186046511628,8,0.06976744186046512,0.627906976744186,155.04855346679688,0.8435454368591309,155.96612548828125,1
google_robot_move_near__seed000__step040,google_robot_move_near,0,40,middle,validation,standard_shr,26,1.0,0.34615384615384615,2,0.0,0.6538461538461539,156.27000427246094,1.0644066333770752,203.59324645996094,1
google_robot_move_near__seed000__step040,google_robot_move_near,0,40,middle,validation,prompt_v1,26,0.34615384615384615,1.0,17,0.4230769230769231,0.15384615384615385,119.76738739013672,0.8299480676651001,135.41123962402344,4
google_robot_move_near__seed000__step040,google_robot_move_near,0,40,middle,validation,prompt_single,26,0.6538461538461539,0.6153846153846154,8,0.15384615384615385,0.46153846153846156,129.9020233154297,0.8846026659011841,170.175048828125,4
google_robot_move_near__seed000__step040,google_robot_move_near,0,40,middle,validation,prompt_sparse,26,0.6923076923076923,0.6538461538461539,9,0.15384615384615385,0.46153846153846156,131.41636657714844,0.9116872549057007,165.29246520996094,4
google_robot_move_near__seed000__step071,google_robot_move_near,0,71,late,validation,standard_shr,42,1.0,0.09523809523809523,7,0.09523809523809523,0.5714285714285714,199.89830017089844,0.8322625160217285,48.476829528808594,0
google_robot_move_near__seed000__step071,google_robot_move_near,0,71,late,validation,prompt_v1,42,0.09523809523809523,1.0,16,0.14285714285714285,0.19047619047619047,146.31507873535156,0.8305620551109314,114.90550994873047,1
google_robot_move_near__seed000__step071,google_robot_move_near,0,71,late,validation,prompt_single,42,0.07142857142857142,0.6190476190476191,12,0.16666666666666666,0.5238095238095238,150.0069580078125,0.9004449248313904,154.06478881835938,1
google_robot_move_near__seed000__step071,google_robot_move_near,0,71,late,validation,prompt_sparse,42,0.047619047619047616,0.6428571428571429,11,0.14285714285714285,0.5,149.52066040039062,0.9045526385307312,155.92056274414062,1
