state_id,split,task,layer,new_target_gain,old_target_drop
google_robot_move_near__seed031__step008,exploration,google_robot_move_near,24,0.03820689022541046,0.006804186850786209
google_robot_move_near__seed031__step008,exploration,google_robot_move_near,25,0.00964479148387909,0.004086580127477646
google_robot_move_near__seed031__step008,exploration,google_robot_move_near,26,0.006835818290710449,-0.0025384053587913513
google_robot_move_near__seed031__step008,exploration,google_robot_move_near,27,-0.009964287281036377,-0.004577264189720154
google_robot_move_near__seed031__step008,exploration,google_robot_move_near,28,-0.011478662490844727,-0.00308222696185112
google_robot_move_near__seed031__step008,exploration,google_robot_move_near,29,-0.011056900024414062,0.0004981234669685364
google_robot_move_near__seed031__step008,exploration,google_robot_move_near,30,-0.012318283319473267,-0.001131311058998108
google_robot_move_near__seed031__step008,exploration,google_robot_move_near,31,-0.010371029376983643,0.00030561909079551697
google_robot_move_near__seed073__step008,exploration,google_robot_move_near,0,-0.00047317519783973694,0.0003058016300201416
google_robot_move_near__seed073__step008,exploration,google_robot_move_near,1,0.00042471103370189667,-0.0009685307741165161
google_robot_move_near__seed073__step008,exploration,google_robot_move_near,2,-0.0018802843987941742,0.001998104155063629
google_robot_move_near__seed073__step008,exploration,google_robot_move_near,3,0.0003641955554485321,0.013025559484958649
google_robot_move_near__seed073__step008,exploration,google_robot_move_near,4,-0.00012819282710552216,0.006074428558349609
google_robot_move_near__seed073__step008,exploration,google_robot_move_near,5,-0.0003250241279602051,0.002605244517326355
google_robot_move_near__seed073__step008,exploration,google_robot_move_near,6,0.007130356505513191,0.0499202162027359
google_robot_move_near__seed073__step008,exploration,google_robot_move_near,7,0.0035252459347248077,0.0905315950512886
google_robot_move_near__seed073__step008,exploration,google_robot_move_near,8,0.033676017075777054,0.052718497812747955
google_robot_move_near__seed073__step008,exploration,google_robot_move_near,9,0.08545041084289551,0.03880160674452782
google_robot_move_near__seed073__step008,exploration,google_robot_move_near,10,0.014786984771490097,0.022274892777204514
google_robot_move_near__seed073__step008,exploration,google_robot_move_near,11,0.03833276033401489,0.03148778900504112
google_robot_move_near__seed073__step008,exploration,google_robot_move_near,12,0.011316351592540741,0.00847654603421688
google_robot_move_near__seed073__step008,exploration,google_robot_move_near,13,0.014826284721493721,0.05488656088709831
google_robot_move_near__seed073__step008,exploration,google_robot_move_near,14,0.002511771395802498,0.0012546759098768234
google_robot_move_near__seed073__step008,exploration,google_robot_move_near,15,0.0050191450864076614,-0.00020780228078365326
google_robot_move_near__seed073__step008,exploration,google_robot_move_near,16,0.005775494500994682,-0.003658430650830269
google_robot_move_near__seed073__step008,exploration,google_robot_move_near,17,-0.0009359586983919144,0.0020542554557323456
google_robot_move_near__seed073__step008,exploration,google_robot_move_near,18,0.003981763496994972,-0.0011320598423480988
google_robot_move_near__seed073__step008,exploration,google_robot_move_near,19,0.005049210041761398,-0.0037737730890512466
google_robot_move_near__seed073__step008,exploration,google_robot_move_near,20,0.00558413565158844,9.665824472904205e-05
google_robot_move_near__seed073__step008,exploration,google_robot_move_near,21,-0.005961164832115173,-0.003123365342617035
google_robot_move_near__seed073__step008,exploration,google_robot_move_near,22,0.02199976146221161,-0.00015846826136112213
google_robot_move_near__seed073__step008,exploration,google_robot_move_near,23,-0.008118391036987305,-0.002572789788246155
google_robot_move_near__seed073__step008,exploration,google_robot_move_near,24,-0.0014857500791549683,0.0003286190330982208
