task,seed,category,phase,control_step,arm,progress,delta_vs_lambda_0p5,mean_action_l2,mean_residual_norm,final_success
close_drawer,57,harm,contact_or_motion,57,dynamic_l11_lambda_0p25,0.025212615728378296,-0.026444971561431885,0.03331991214285065,195.49755859375,0
close_drawer,57,harm,contact_or_motion,57,clean_lambda_0,0.027347028255462646,-0.024310559034347534,0.0,183.90166320800782,0
close_drawer,57,harm,late,90,dynamic_l11_lambda_0p5,-0.0,0.0,0.19886923298129666,187.0454315185547,0
close_drawer,57,harm,late,90,dynamic_l11_lambda_0p25,-0.0,0.0,0.18453727002804757,187.0454315185547,0
close_drawer,57,harm,late,90,clean_lambda_0,-0.0,0.0,0.0,187.0454315185547,0
open_drawer,1,rescue,approach,0,dynamic_l11_lambda_0p5,0.2618717157277369,0.0,0.05829173262402095,187.57953948974608,0
open_drawer,1,rescue,approach,0,dynamic_l11_lambda_0p25,0.22370159059837458,-0.0381701251293623,0.06572230652832463,183.35149154663085,0
open_drawer,1,rescue,approach,0,clean_lambda_0,0.233664044043346,-0.028207671684390867,0.0,197.52642517089845,0
open_drawer,1,rescue,contact_or_motion,43,dynamic_l11_lambda_0p5,0.2548252400010824,0.0,0.11672923553234393,153.30073013305665,1
open_drawer,1,rescue,contact_or_motion,43,dynamic_l11_lambda_0p25,0.15963364206254482,-0.0951915979385376,0.07926907370563811,164.76557312011718,1
open_drawer,1,rescue,contact_or_motion,43,clean_lambda_0,0.06176426820456982,-0.1930609717965126,0.0,168.65160903930663,0
open_drawer,1,rescue,late,90,dynamic_l11_lambda_0p5,0.0020884275436401367,0.0,0.002369306744898067,104.71287994384765,1
open_drawer,1,rescue,late,90,dynamic_l11_lambda_0p25,-0.0019815266132354736,-0.00406995415687561,0.0,104.38588485717773,1
open_drawer,1,rescue,late,90,clean_lambda_0,-0.0019815266132354736,-0.00406995415687561,0.0,104.38588485717773,1
open_drawer,2,rescue,approach,0,dynamic_l11_lambda_0p5,0.23730984204461997,0.0,0.08252511127714869,196.81640167236327,0
open_drawer,2,rescue,approach,0,dynamic_l11_lambda_0p25,0.19508628303963998,-0.04222355900497998,0.041230550704812234,191.91269454956054,0
open_drawer,2,rescue,approach,0,clean_lambda_0,0.1326197879933495,-0.10469005405127046,0.0,167.4792625427246,0
open_drawer,2,rescue,contact_or_motion,73,dynamic_l11_lambda_0p5,0.11399061977863312,0.0,0.09909715144312833,189.47472534179687,0
open_drawer,2,rescue,contact_or_motion,73,dynamic_l11_lambda_0p25,0.09509129077196121,-0.018899329006671906,0.034133645634958035,199.2310028076172,0
open_drawer,2,rescue,contact_or_motion,73,clean_lambda_0,0.04014994204044342,-0.0738406777381897,0.0,159.69465026855468,0
open_drawer,2,rescue,late,90,dynamic_l11_lambda_0p5,0.0,0.0,0.0784522377674738,195.8677734375,0
open_drawer,2,rescue,late,90,dynamic_l11_lambda_0p25,0.0,0.0,0.030499782119460632,191.1090072631836,0
open_drawer,2,rescue,late,90,clean_lambda_0,0.0,0.0,0.0,200.22640380859374,0
open_drawer,10,rescue,approach,1,dynamic_l11_lambda_0p5,0.1623181741303219,0.0,0.09273710841561641,204.79865798950195,0
open_drawer,10,rescue,approach,1,dynamic_l11_lambda_0p25,0.14512537649950347,-0.017192797630818435,0.06968113471873513,189.5003917694092,0
open_drawer,10,rescue,approach,1,clean_lambda_0,0.22299554552189346,0.06067737139157156,0.0,219.7685577392578,0
open_drawer,10,rescue,contact_or_motion,31,dynamic_l11_lambda_0p5,0.06664412282407284,0.0,0.06121993687216999,209.48319549560546,0
open_drawer,10,rescue,contact_or_motion,31,dynamic_l11_lambda_0p25,0.1783991288393736,0.11175500601530075,0.034250687054653714,200.058203125,1
open_drawer,10,rescue,contact_or_motion,31,clean_lambda_0,0.09632938914000988,0.029685266315937042,0.0,199.80706329345702,0
open_drawer,10,rescue,late,90,dynamic_l11_lambda_0p5,-0.0003249943256378174,0.0,0.0006318151319728155,160.55901031494142,1
open_drawer,10,rescue,late,90,dynamic_l11_lambda_0p25,0.0,0.0003249943256378174,0.0,160.55901031494142,1
open_drawer,10,rescue,late,90,clean_lambda_0,0.0,0.0003249943256378174,0.0,160.55901031494142,1
open_drawer,13,harm,approach,0,dynamic_l11_lambda_0p5,0.16983985220041758,0.0,0.06769748998646961,196.3808738708496,0
open_drawer,13,harm,approach,0,dynamic_l11_lambda_0p25,0.15689917096822126,-0.012940681232196327,0.04978369067425585,194.49097213745117,0
open_drawer,13,harm,approach,0,clean_lambda_0,0.1897013604473032,0.019861508246885623,0.0,215.08296737670898,0
open_drawer,13,harm,contact_or_motion,56,dynamic_l11_lambda_0p5,4.31600013974659e-14,0.0,0.06746443457522007,239.89891510009767,0
open_drawer,13,harm,contact_or_motion,56,dynamic_l11_lambda_0p25,4.31600013974659e-14,0.0,0.03688278003452205,240.11757202148436,0
open_drawer,13,harm,contact_or_motion,56,clean_lambda_0,4.31600013974659e-14,0.0,0.0,244.32022705078126,0
open_drawer,13,harm,late,90,dynamic_l11_lambda_0p5,4.3159974292411585e-14,0.0,0.12337470891904481,239.13429565429686,0
open_drawer,13,harm,late,90,dynamic_l11_lambda_0p25,4.3159974292411585e-14,0.0,0.04655015816731882,244.7822738647461,0
open_drawer,13,harm,late,90,clean_lambda_0,4.3159974292411585e-14,0.0,0.0,237.2223098754883,0
open_drawer,17,rescue,approach,0,dynamic_l11_lambda_0p5,0.23103580394204226,0.0,0.08958863045046103,218.49278106689454,0
open_drawer,17,rescue,approach,0,dynamic_l11_lambda_0p25,0.14075676576033103,-0.09027903818171124,0.12955546435976192,200.15471801757812,0
open_drawer,17,rescue,approach,0,clean_lambda_0,0.18136364679516742,-0.04967215714687484,0.0,200.8376266479492,0
open_drawer,17,rescue,contact_or_motion,49,dynamic_l11_lambda_0p5,0.03264244459569454,0.0,0.039649066512992104,204.865234375,0
open_drawer,17,rescue,contact_or_motion,49,dynamic_l11_lambda_0p25,0.00901545025408268,-0.023626994341611862,0.06479043844532682,187.76510925292968,0
open_drawer,17,rescue,contact_or_motion,49,clean_lambda_0,0.015804830938577652,-0.01683761365711689,0.0,182.63103942871095,0
open_drawer,17,rescue,late,90,dynamic_l11_lambda_0p5,0.05459381267428398,0.0,0.10816804203674776,240.57076721191407,0
open_drawer,17,rescue,late,90,dynamic_l11_lambda_0p25,0.0568394772708416,0.002245664596557617,0.03087493207210181,224.98636016845703,0
open_drawer,17,rescue,late,90,clean_lambda_0,0.07970205321907997,0.02510824054479599,0.0,225.72178497314454,0
open_drawer,29,rescue,approach,0,dynamic_l11_lambda_0p5,0.20102530475487632,0.0,0.08486830412054899,218.0192443847656,0
open_drawer,29,rescue,approach,0,dynamic_l11_lambda_0p25,0.198008876633827,-0.003016428121049325,0.0651616153292427,176.53315925598145,0
open_drawer,29,rescue,approach,0,clean_lambda_0,0.21232278875151472,0.011297483996638408,0.0,173.77219791412352,0
open_drawer,29,rescue,contact_or_motion,36,dynamic_l11_lambda_0p5,0.026882756501436234,0.0,0.022627846999917236,174.41604919433593,0
open_drawer,29,rescue,contact_or_motion,36,dynamic_l11_lambda_0p25,0.02588421106338501,-0.0009985454380512238,0.0246352990604325,183.607763671875,0
open_drawer,29,rescue,contact_or_motion,36,clean_lambda_0,0.006865385919809341,-0.020017370581626892,0.0,180.43631896972656,0
open_drawer,29,rescue,late,90,dynamic_l11_lambda_0p5,0.0005220025777816772,0.0,0.0,131.21127471923828,1
open_drawer,29,rescue,late,90,dynamic_l11_lambda_0p25,0.0005220025777816772,0.0,0.0,131.21127471923828,1
open_drawer,29,rescue,late,90,clean_lambda_0,0.0005220025777816772,0.0,0.0,131.21127471923828,1
open_drawer,42,harm,approach,0,dynamic_l11_lambda_0p5,0.1905490032122583,0.0,0.07416235738330448,192.48384895324708,0
open_drawer,42,harm,approach,0,dynamic_l11_lambda_0p25,0.15316952333364153,-0.037379479878616756,0.036858944514167734,178.71478996276855,0
open_drawer,42,harm,approach,0,clean_lambda_0,0.13525992864108582,-0.055289074571172464,0.0,185.50583171844482,0
open_drawer,42,harm,contact_or_motion,86,dynamic_l11_lambda_0p5,0.04941982310265303,0.0,0.0937909151496866,226.9117202758789,0
open_drawer,42,harm,contact_or_motion,86,dynamic_l11_lambda_0p25,0.03141044732183218,-0.018009375780820847,0.0797785665697118,232.67107849121095,0
open_drawer,42,harm,contact_or_motion,86,clean_lambda_0,0.053002494387328625,0.003582671284675598,0.0,223.19780578613282,0
open_drawer,42,harm,late,90,dynamic_l11_lambda_0p5,-0.0027770455926656723,0.0,0.057191292427782835,203.40160064697267,0
open_drawer,42,harm,late,90,dynamic_l11_lambda_0p25,-0.005495873279869556,-0.002718827687203884,0.07237948390487256,236.14486541748047,0
open_drawer,42,harm,late,90,clean_lambda_0,0.008407549932599068,0.01118459552526474,0.0,221.00608978271484,0
open_drawer,55,harm,approach,0,dynamic_l11_lambda_0p5,0.22476194117382814,0.0,0.11493269015479055,207.68328704833985,0
open_drawer,55,harm,approach,0,dynamic_l11_lambda_0p25,0.2546319524710028,0.029870011297174648,0.05412192579721651,166.70566234588622,0
open_drawer,55,harm,approach,0,clean_lambda_0,0.17372287670837533,-0.05103906446545281,0.0,190.53436813354492,0
open_drawer,55,harm,contact_or_motion,56,dynamic_l11_lambda_0p5,4.31600013974659e-14,0.0,0.11006372588723634,238.5916015625,0
open_drawer,55,harm,contact_or_motion,56,dynamic_l11_lambda_0p25,4.31600013974659e-14,0.0,0.07477940149020237,250.66582794189452,0
open_drawer,55,harm,contact_or_motion,56,clean_lambda_0,4.31600013974659e-14,0.0,0.0,249.50943450927736,0
open_drawer,55,harm,late,90,dynamic_l11_lambda_0p5,9.940561828541972e-15,0.0,0.008065180770614563,177.13651275634766,0
open_drawer,55,harm,late,90,dynamic_l11_lambda_0p25,5.191322632186468e-15,-4.749239196355504e-15,0.0,164.376513671875,0
open_drawer,55,harm,late,90,clean_lambda_0,5.191322632186468e-15,-4.749239196355504e-15,0.0,164.376513671875,0
open_drawer,71,harm,approach,0,dynamic_l11_lambda_0p5,0.22476194117382814,0.0,0.11493269015479055,207.68328704833985,0
open_drawer,71,harm,approach,0,dynamic_l11_lambda_0p25,0.2546319524710028,0.029870011297174648,0.05412192579721651,166.70566234588622,0
open_drawer,71,harm,approach,0,clean_lambda_0,0.17372287670837533,-0.05103906446545281,0.0,190.53436813354492,0
open_drawer,71,harm,contact_or_motion,56,dynamic_l11_lambda_0p5,4.31600013974659e-14,0.0,0.11006372588723634,238.5916015625,0
open_drawer,71,harm,contact_or_motion,56,dynamic_l11_lambda_0p25,4.31600013974659e-14,0.0,0.07477940149020237,250.66582794189452,0
open_drawer,71,harm,contact_or_motion,56,clean_lambda_0,4.31600013974659e-14,0.0,0.0,249.50943450927736,0
open_drawer,71,harm,late,90,dynamic_l11_lambda_0p5,9.940561828541972e-15,0.0,0.008065180770614563,177.13651275634766,0
open_drawer,71,harm,late,90,dynamic_l11_lambda_0p25,5.191322632186468e-15,-4.749239196355504e-15,0.0,164.376513671875,0
open_drawer,71,harm,late,90,clean_lambda_0,5.191322632186468e-15,-4.749239196355504e-15,0.0,164.376513671875,0
open_drawer,94,harm,approach,0,dynamic_l11_lambda_0p5,0.07518634077025566,0.0,0.05236886666012279,184.51102447509766,0
open_drawer,94,harm,approach,0,dynamic_l11_lambda_0p25,0.1462397117884812,0.07105337101822554,0.08664203458144992,193.46556091308594,0
open_drawer,94,harm,approach,0,clean_lambda_0,0.20064889139760644,0.1254625506273508,0.0,200.8856430053711,0
open_drawer,94,harm,contact_or_motion,62,dynamic_l11_lambda_0p5,-0.007269977136845185,0.0,0.054756644518272904,231.16631774902345,0
open_drawer,94,harm,contact_or_motion,62,dynamic_l11_lambda_0p25,9.503262117505074e-05,0.007365009758020236,0.09448431798987929,222.73995666503907,0
open_drawer,94,harm,contact_or_motion,62,clean_lambda_0,-0.007269985042512417,-7.905667231966618e-09,0.0,189.58218536376953,0
open_drawer,94,harm,late,90,dynamic_l11_lambda_0p5,0.0012827897444367409,0.0,0.017267534509339304,178.46867828369142,0
open_drawer,94,harm,late,90,dynamic_l11_lambda_0p25,0.012263353681191802,0.010980563936755061,0.01566195048310008,190.08189392089844,0
open_drawer,94,harm,late,90,clean_lambda_0,0.0018793446943163872,0.0005965549498796463,0.0,192.8644226074219,0
