task,seed,category,phase,control_step,sector,removed_count,progress,delta_vs_locked_full,mean_action_l2,mean_residual_norm,final_success
close_drawer,0,rescue,approach,0,r0_c1,4,0.11009129860167344,0.006539778350775127,0.0454294946984188,161.41968688964843,0
close_drawer,0,rescue,approach,0,r1_c0,12,0.1419647913256244,0.038413271074726085,0.054259974264693756,172.8076614379883,0
close_drawer,0,rescue,approach,0,r1_c1,18,0.12369490176904019,0.02014338151814188,0.06252788638339857,174.6589042663574,0
close_drawer,0,rescue,approach,0,r2_c0,2,0.08993537893643089,-0.013616141314467423,0.07133477698879671,170.1230209350586,0
close_drawer,0,rescue,approach,0,r2_c1,1,0.08680954792566697,-0.016741972325231336,0.04821338288936957,159.4034423828125,0
close_drawer,0,rescue,contact_or_motion,23,r1_c0,6,0.09633979946374893,0.0,0.08230076617804649,173.1527229309082,0
close_drawer,0,rescue,contact_or_motion,23,r1_c1,5,0.09633979946374893,0.0,0.08230076617804649,164.94903106689452,0
close_drawer,0,rescue,contact_or_motion,23,r2_c0,1,0.09633979946374893,0.0,0.08230076617804649,173.40912780761718,0
close_drawer,0,rescue,late,90,r1_c0,1,-0.0,0.0,0.0,125.64725341796876,1
close_drawer,0,rescue,late,90,r1_c1,4,-0.0,0.0,0.0,117.17753057479858,1
close_drawer,1,rescue,approach,0,r0_c0,1,0.13006189207663355,-0.05261179126700233,0.049133398487169966,157.25354194641113,0
close_drawer,1,rescue,approach,0,r0_c1,2,0.1978138881172195,0.015140204773583632,0.08684379380212452,169.32803916931152,0
close_drawer,1,rescue,approach,0,r1_c0,3,0.18267368334363587,0.0,0.10149295033544777,188.51966857910156,0
close_drawer,1,rescue,approach,0,r1_c1,7,0.15244035750103613,-0.030233325842599745,0.08489292457217011,170.8353530883789,0
close_drawer,1,rescue,approach,0,r2_c0,7,0.18267368334363587,0.0,0.10149295033544777,187.73578796386718,0
close_drawer,1,rescue,contact_or_motion,32,r0_c0,1,0.07676538825035095,-0.06915083900094032,0.1352107503157234,189.73114624023438,0
close_drawer,1,rescue,contact_or_motion,32,r0_c1,1,0.16401647217571735,0.01810024492442608,0.05914787085161695,186.3396011352539,1
close_drawer,1,rescue,contact_or_motion,32,r1_c0,22,0.12737900763750076,-0.018537219613790512,0.06531982062822689,169.4233856201172,0
close_drawer,1,rescue,contact_or_motion,32,r1_c1,6,0.14680848270654678,0.0008922554552555084,0.08405495861035718,161.07007522583007,1
close_drawer,1,rescue,contact_or_motion,32,r2_c0,11,0.1668857391923666,0.020969511941075325,0.09838595268547397,163.54146881103514,1
close_drawer,1,rescue,contact_or_motion,32,r2_c1,3,0.12929602712392807,-0.016620200127363205,0.0787705126347282,150.55844421386718,0
close_drawer,1,rescue,late,90,r0_c0,1,-0.0,0.0,0.0,149.57344436645508,1
close_drawer,1,rescue,late,90,r0_c1,1,-0.0,0.0,0.0,149.1311408996582,1
close_drawer,1,rescue,late,90,r1_c0,22,-0.0,0.0,0.0,148.56020736694336,1
close_drawer,1,rescue,late,90,r1_c1,4,-0.0,0.0,0.0,149.12775039672852,1
close_drawer,1,rescue,late,90,r2_c0,7,-0.0,0.0,0.0,144.37855758666993,1
close_drawer,1,rescue,late,90,r2_c1,3,-0.0,0.0,0.0,149.0029411315918,1
close_drawer,2,rescue,approach,1,r0_c0,1,0.14997886467559934,0.0,0.0453053589033461,120.6155963897705,0
close_drawer,2,rescue,approach,1,r0_c1,3,0.14997886467559934,0.0,0.0453053589033461,120.55048713684081,0
close_drawer,2,rescue,approach,1,r1_c0,12,0.14997886467559934,0.0,0.0453053589033461,120.36294136047363,0
close_drawer,2,rescue,approach,1,r1_c1,8,0.12836261947857053,-0.021616245197028816,0.04596114247968455,145.28844566345214,0
close_drawer,2,rescue,approach,1,r2_c0,2,0.14997886467559934,0.0,0.0453053589033461,120.58247871398926,0
close_drawer,2,rescue,contact_or_motion,32,r0_c0,1,0.0002931654453277588,1.0579824447631836e-06,0.07359495430893948,193.53225402832032,0
close_drawer,2,rescue,contact_or_motion,32,r0_c1,1,0.00029246509075164795,3.5762786865234375e-07,0.154176689758217,213.09515075683595,0
close_drawer,2,rescue,contact_or_motion,32,r1_c0,13,0.008503347635269165,0.00821124017238617,0.13546158307795972,173.91298904418946,0
close_drawer,2,rescue,contact_or_motion,32,r1_c1,2,0.074646957218647,0.07435484975576401,0.07868422452734145,172.132275390625,0
close_drawer,2,rescue,contact_or_motion,32,r2_c0,1,0.0002921074628829956,0.0,0.08384456709520584,183.4305679321289,0
close_drawer,2,rescue,late,90,r0_c0,1,-0.0,0.0,0.05834230594582897,171.4529571533203,0
close_drawer,2,rescue,late,90,r0_c1,1,-0.0,0.0,0.07020451556649895,159.5319839477539,0
close_drawer,2,rescue,late,90,r1_c0,20,-0.0,0.0,0.11167546924207108,169.60620193481446,0
close_drawer,9,harm,approach,0,r0_c1,3,0.0671516256286121,-0.047516032218184456,0.07934377762779311,176.8401626586914,0
close_drawer,9,harm,approach,0,r1_c0,1,0.11466765784679656,0.0,0.10233069420412048,186.81268310546875,0
close_drawer,9,harm,approach,0,r1_c1,8,0.12612482799096847,0.011457170144171913,0.12779758120684695,181.28943481445313,0
close_drawer,9,harm,approach,0,r2_c0,8,0.11466765784679656,0.0,0.10233069420412048,186.70001525878905,0
close_drawer,9,harm,approach,0,r2_c1,3,0.11466765784679656,0.0,0.10233069420412048,186.57828063964843,0
close_drawer,9,harm,contact_or_motion,57,r1_c0,1,0.05165758728981018,0.0,0.08274849789037063,194.3889373779297,0
close_drawer,9,harm,contact_or_motion,57,r1_c1,1,0.05165758728981018,0.0,0.08274849789037063,194.41400451660155,0
close_drawer,9,harm,contact_or_motion,57,r2_c0,9,0.05165758728981018,0.0,0.08274849789037063,193.60240783691407,0
close_drawer,9,harm,contact_or_motion,57,r2_c1,14,0.05165758728981018,0.0,0.08274849789037063,181.69115676879883,0
close_drawer,9,harm,late,90,r0_c0,1,-0.0,0.0,0.20381213353906763,188.27642517089845,0
close_drawer,9,harm,late,90,r0_c1,1,-0.0,0.0,0.20381213353906763,188.47943725585938,0
